Title     : Looking for a Key Manager?  Maybe Look for In-House Solutions First
Video ID  : Z4Anwa_srXA
URL       : https://www.youtube.com/watch?v=Z4Anwa_srXA
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 43
Saved at  : 2026-06-21 00:17:37
------------------------------------------------------------

[00:00.72]  [Music]
[00:12.83]  step 5 look for in-house solutions so as
[00:18.68]  I've been in this business longer and
[00:21.06]  longer you know it certainly there is a
[00:23.51]  mindset for a start-up or a founder or
[00:26.94]  CEO to just make the hire right like hey
[00:30.09]  you may not have the perfect candidate
[00:32.16]  you may not have anyone that you would
[00:34.26]  hire on your best day but like just make
[00:36.54]  the higher and higher fast fire fast
[00:39.57]  etcetera etc but reality is this that
[00:42.36]  could actually cause you know a lot of
[00:44.22]  harm and damage of the company oh the
[00:45.90]  least of which is you're going to
[00:47.16]  potentially commit a year to somebody
[00:48.96]  that shouldn't be you VP of Sales but
[00:51.72]  you can also take a Director of Sales or
[00:54.75]  head of sales with a company that maybe
[00:56.73]  is doing great work for you maybe you
[00:58.26]  don't think they are the future of sales
[01:01.41]  leadership in your company maybe you're
[01:02.88]  not sure if they can become a VP of
[01:04.32]  Sales yet but the reality is if you have
[01:06.96]  if if you have something working and the
[01:09.63]  reality is is if you're hired VP of
[01:11.34]  Sales something probably it's working
[01:12.96]  you've found some formula some product
[01:16.02]  market fit some growth to justify making
[01:19.05]  that hire look long and hard at that
[01:22.56]  internal candidate and say is that a
[01:24.03]  better person to beat us in the short
[01:26.73]  term then make a hire out of expediency
[01:30.39]  make a make a hire that's a stretch a
[01:32.72]  stretch fit for you and I would I would
[01:36.12]  pursue that track and parallel to
[01:37.92]  everything else you do and I think it's
[01:40.38]  often bringing in a VP of Sales that's a
[01:44.07]  non fit popping your head assumes maybe
[01:46.68]  your founding head of sales or director
[01:48.30]  sales often ends up having negative
[01:51.45]  impact on the company so
[01:54.34]  you
[01:57.45]  [Music]
