Title     : Mastering SaaS Sales Hiring, Customer Retention, and Growth with OpenAI,  Retool, and 20VC
Video ID  : 0dPbrT6m3dY
URL       : https://www.youtube.com/watch?v=0dPbrT6m3dY
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 994
Saved at  : 2026-06-20 22:46:27
------------------------------------------------------------

[00:00.12]  what do you think are the biggest
[00:01.44]  mistakes that Founders make in sales
[00:03.36]  team hiring looking at a resume versus
[00:06.00]  an individual it's an easy proxy it's a
[00:07.88]  cheat code you're a Founder you have a
[00:09.36]  million things to do every hour and you
[00:11.48]  looked at it and you saying yes this is
[00:13.12]  a blueprint for Success when in the
[00:15.28]  early days curiosity and high slope high
[00:17.76]  potential individuals can have such an
[00:19.96]  outsized him D what are the biggest
[00:21.80]  mistakes you've made in sales team H I
[00:23.84]  think there is no uniform profile for
[00:27.44]  how you go in and think about uh
[00:29.08]  technical sales and even technical post
[00:31.08]  sales and I think there's all these sort
[00:32.68]  of things that you want to identify
[00:35.12]  which is based on what stage of growth
[00:37.24]  is the company in you're also thinking
[00:39.00]  about what type of product you have who
[00:40.80]  is the actual user and you think about
[00:43.32]  those start working Your Way backwards
[00:44.76]  and that starts to allow you to start to
[00:46.84]  understand what type of a profile you
[00:48.08]  need thank you so much for joining us
[00:49.60]  everyone how have you seen new Ro change
[00:51.20]  over the last 18 months so I think it's
[00:53.64]  two things it's the zero interest rate
[00:56.00]  environment going away in the last two
[00:57.84]  years and having to dramatically change
[01:00.08]  way you think about sales and then it's
[01:02.20]  also this Advent of AI and this
[01:04.68]  excitement and this eagerness and this
[01:08.08]  desire to use it as quickly and quickly
[01:09.88]  as possible without maybe thinking
[01:11.36]  through what are we going to do what are
[01:13.08]  we trying to achieve what are we trying
[01:14.24]  to assault how has zero interest rate
[01:16.16]  environment changed how you think about
[01:17.64]  sales today I think it's just much
[01:19.64]  harder I was thinking through some very
[01:22.00]  fancy answers about what's changed but
[01:24.08]  at the end of the day what does that
[01:25.32]  look like that we saw with Salesforce in
[01:26.88]  that results that was I think they need
[01:28.48]  3x pipeline coverage to hit the same 2x
[01:31.56]  number there specific examples of how
[01:34.04]  it's harder I would say the pipeline
[01:35.72]  coverage you need we used to need about
[01:38.00]  1.5 x now it's closer to 2 2.5 I think
[01:41.16]  sales Cycles have gotten longer and I
[01:43.52]  think instead of being able to rely on
[01:45.52]  inbound and handwavy Roi calculators to
[01:48.60]  be able to make a case you actually
[01:50.64]  we've shifted more to this inbound
[01:52.12]  outbound version where you have to get
[01:53.72]  religious about intent signals and time
[01:56.04]  to lead and speed to lead and following
[01:58.60]  up immediately it's you can't you have
[02:00.92]  to have a very strong champion who knows
[02:03.08]  how to actually attach to a top level
[02:04.84]  business initiative and we've always
[02:06.88]  historically said of course you have to
[02:08.64]  attach to a top level business
[02:10.04]  initiative but now you actually do and
[02:12.20]  you need a stronger Champion you need a
[02:14.12]  clearer business case you need to attach
[02:16.36]  to something that's incredibly important
[02:17.96]  to the company and you have to take a
[02:19.92]  lot more time doing it if we just go
[02:21.72]  through the sales life cycle there we
[02:23.20]  said we need more pipeline coverage
[02:25.80]  great but also companies are cutting
[02:28.24]  back on bend in a lot of cases like how
[02:30.48]  do we think about that do we spend a
[02:31.84]  load more in terms of SDR
[02:33.80]  teams how do you approach that I think
[02:36.64]  it's there there's two ways you can grow
[02:38.52]  it's the top line as well as the
[02:39.88]  efficiency and we're focusing a lot more
[02:41.88]  on the efficiency and so how can we
[02:43.84]  maximize the bdrs we have can we give
[02:46.08]  them more tooling how can we capture
[02:47.64]  every single intent signal how can we
[02:49.60]  make sure that we're spending our money
[02:50.80]  on brand awareness and education the
[02:52.76]  awareness and education is almost more
[02:54.64]  important than anything else because you
[02:56.56]  need to work together to find a use case
[02:58.44]  in order to capture that budget
[03:00.44]  okay so we then increase pipeline how
[03:03.24]  are we seeing time to sale change and
[03:05.20]  how do we actually shorten that in the
[03:07.40]  face of lengthening time to sales how do
[03:09.24]  we create urgency I think a lot of it is
[03:10.92]  just I've spend more time probably
[03:12.32]  managing expectations than shortening
[03:14.24]  the life cycle but I think both are
[03:16.28]  important I think a lot of it is
[03:17.88]  attaching to one of their top level
[03:19.88]  initiatives so that you can craft a
[03:21.32]  compelling event around that and also
[03:23.36]  attaching yourself to market trends like
[03:25.08]  Ai and so figuring out how does retool
[03:27.52]  fit into your AI story are we how you
[03:29.32]  adopt it are we how you prototype are we
[03:31.52]  how you can actually get something built
[03:33.72]  and in production for your support team
[03:35.44]  or your sales team or your engineering
[03:37.16]  team faster and it's understanding very
[03:39.88]  critically what the goals are of your
[03:41.92]  prospect or your customer and attaching
[03:43.92]  to them from day one do you think the
[03:45.92]  startups do that well today I think it's
[03:47.68]  a moving
[03:48.84]  Target I think it's a lot easier said
[03:51.20]  than done and I think that's a lot
[03:52.64]  what's changed in the past two years and
[03:54.92]  18 months is there's a ton of noise
[03:57.16]  around AI there's a ton of noise around
[03:59.04]  the economy
[04:00.32]  and your job is to create focus and
[04:02.44]  Clarity and a path to sale as quickly as
[04:05.04]  possible Dom I'd love to hear your
[04:06.92]  thoughts here we've heard about um how
[04:08.92]  people need more matric they need more
[04:10.56]  proof points around success how do you
[04:12.92]  think we see actual post sales change in
[04:15.76]  this next wave where people want to see
[04:17.88]  more data CL want case studies of
[04:20.04]  effectiveness of kind effective agent
[04:21.84]  use how do we see post sales change with
[04:24.80]  the increased demands of customers yeah
[04:27.12]  I think a lot of what we're focusing on
[04:28.80]  is just being able to to learn jointly
[04:30.92]  with customers and so brand new
[04:32.92]  technology new category moving really
[04:35.48]  quickly a lot of what we're spending a
[04:37.68]  lot of time doing is actually the
[04:39.32]  surveying of customers and really
[04:41.40]  understanding what are some of the
[04:42.88]  compelling use cases that we can then
[04:44.56]  apply value and metrics to and then
[04:47.64]  using that to start building out
[04:49.96]  Solutions being able to have a
[04:51.88]  hypothesis by different Industries is
[04:54.28]  what is the impact in the technology so
[04:56.28]  a lot of what we're doing is working
[04:57.64]  with customers jointly to really
[04:59.44]  understand with them and to guide them
[05:01.56]  on where the technology can be applied
[05:03.56]  the second thing that we're focusing a
[05:05.00]  ton on at least within our organization
[05:07.00]  is building out lots of education and
[05:09.24]  that's not entirely just based on the
[05:11.56]  technology but how to think about the
[05:13.20]  technology companies come to us and
[05:15.24]  they're saying what should a responsible
[05:17.56]  AI use policy look like has anyone ever
[05:20.32]  written something like that how can you
[05:22.60]  help us think about that type of problem
[05:25.04]  so we're looking through and building a
[05:26.76]  lot of these Frameworks to allow people
[05:28.88]  to be able to have the tools to figure
[05:30.88]  out how to deploy the technology at
[05:32.44]  skill where does open AI suck post sales
[05:35.88]  today I'd say that a lot of what we have
[05:39.44]  a constant challenge with to just scale
[05:41.24]  we're a really small company relative to
[05:44.24]  the type of demand that we see and we
[05:46.48]  obviously compete with some of the
[05:47.96]  largest companies on Earth and we're
[05:50.24]  competing with them all simultaneously
[05:52.40]  and a lot of what we have to do is
[05:53.80]  honestly expectation setting and that
[05:56.84]  there's we can only work with what does
[05:58.32]  that actually look like you actually
[05:59.64]  turn down customers we have to yeah
[06:01.64]  absolutely it doesn't mean that we don't
[06:03.16]  turn them down from a technology
[06:04.56]  perspective but it means that we can
[06:05.76]  only work with them directly with an
[06:07.72]  account team at a certain level of scale
[06:09.84]  and so that's one of the biggest pushes
[06:11.32]  right now is we're just massively
[06:12.88]  scaling our goto market organization we
[06:15.24]  opened up an office in Japan we've
[06:17.36]  announced we're going to be opening up
[06:18.56]  an office in Paris and we want to be
[06:20.72]  where all of our customers are but it's
[06:22.60]  going to take us some time to get there
[06:24.28]  has that been a mistake or two that
[06:26.20]  you've made in the post sales learning
[06:28.20]  process and building it out that has
[06:30.04]  most shaped how you think that you think
[06:31.92]  others could learn from I think some of
[06:34.16]  the things that we've certainly made
[06:36.08]  mistakes on is just assuming that the
[06:39.68]  market has more knowledge of this
[06:41.76]  technology and that we really do have to
[06:43.56]  create a craww walk run and a lot more
[06:46.92]  of what we've been focused on is doing
[06:49.68]  that initial education and not making
[06:51.52]  assumptions that people have a strategy
[06:54.24]  around AI it's been shown actually
[06:57.00]  multiple times that lots of companies
[06:58.60]  have interest in AI
[07:00.16]  but very few companies actually have a
[07:02.20]  serious strategy in place around how to
[07:04.16]  go in and deploy and make use of the
[07:05.96]  technology so it's made us shift a lot
[07:08.88]  more towards doing education going in
[07:11.88]  and working with knowledge workers and
[07:13.44]  explaining what prompt engineering is
[07:15.76]  how to go in and give these models the
[07:17.76]  ability to retrieve information so they
[07:19.40]  have more context about your business
[07:20.96]  and how it works is it difficult in a
[07:24.12]  engineering Centric organization where
[07:26.24]  researchers are like you know loyalty
[07:29.40]  and and GTM is
[07:31.16]  like necessary evil yeah um is that
[07:35.32]  difficult I don't think so we work a lot
[07:38.00]  with research like you would a
[07:39.16]  traditional product team they're
[07:40.48]  delivering Innovations to the market we
[07:43.32]  are then going to productize and then
[07:45.48]  the big part of the mission is to bring
[07:48.44]  AGI into the hands so it benefits
[07:50.48]  Humanity how do you do that you actually
[07:52.00]  have to have people using the technology
[07:54.84]  and so we look at the go to market team
[07:57.84]  as very much a part of that mission
[07:59.60]  because it's taking a lot of those
[08:01.20]  Innovations those breakthroughs that are
[08:02.96]  happening in research and actually
[08:04.76]  bringing them to the market so they can
[08:06.32]  be applied I interviewed Brad your coo
[08:08.88]  and Sam Actually in London and Brad said
[08:11.56]  that the biggest misconception that
[08:13.32]  large Enterprises had around adopting
[08:15.00]  open Ai and your Solutions is actually
[08:17.44]  they want to see like line items move
[08:19.92]  around balance sheets and actually you
[08:22.24]  can't sometimes quantify someone's time
[08:24.68]  in certain respects and what we moving
[08:26.32]  son if I would ask you the same question
[08:28.96]  the biggest misconceptions that large
[08:30.64]  Enterprises have around adopting open AI
[08:33.44]  in your Solutions and you were to say
[08:35.40]  something different what would you say
[08:38.56]  I'd say there's a couple different
[08:39.76]  things that we see traditionally like
[08:41.64]  one is that a lot of large Enterprises
[08:44.16]  think that the Innovation is going to
[08:45.56]  start with their machine learning team
[08:47.28]  or their data science team and what
[08:49.12]  we're seeing a lot of innovation happen
[08:50.68]  is actually at the line of business
[08:52.40]  level the people that are closest to the
[08:54.40]  problems and closest to the processes
[08:56.72]  generally have a much better intuition
[08:58.88]  about how to apply the technology so
[09:01.28]  that's one the other one that I would
[09:03.28]  generally say is that people grossly
[09:06.04]  underestimate the amount of time it's
[09:08.20]  going to take in order to pull off a
[09:09.80]  really successful transformational AI
[09:12.00]  project and that if you're not really
[09:14.36]  not only resourcing it top down but it's
[09:16.88]  part of the the company's strategy and
[09:18.96]  that you really have a group of
[09:22.16]  technologists along with some of those
[09:23.96]  folks from the line of business working
[09:25.72]  together it's going to take a while to
[09:27.44]  pull these projects off and so when we
[09:29.00]  talk about about some of these companies
[09:30.52]  like Clara or Spotify or Morgan Stanley
[09:33.76]  that have really done something
[09:34.76]  transformational I think we all have to
[09:36.36]  keep in mind we started those projects
[09:38.20]  probably nine months ago and it takes
[09:39.92]  time and iteration in order to get
[09:41.64]  something into production can I ask you
[09:43.76]  Al that R obviously was a very fantastic
[09:47.56]  and efficient company pre the AI hype
[09:49.76]  cycle and you said you have to attach
[09:51.60]  yourself to Trends in certain respects
[09:54.00]  how is a non aai first company I might
[09:56.44]  get in trouble with that but non AI
[09:58.08]  first company
[10:00.04]  attach yourself to the trend
[10:01.76]  authentically without being like a oh
[10:03.92]  and we've got AI slapped on the side
[10:06.92]  actually I think we're in a really
[10:08.20]  interesting position cuz if you look you
[10:10.08]  look at the website you don't see AI
[10:11.52]  anywhere you have to dig deep into our
[10:13.56]  docks to actually see where AI fits in
[10:16.52]  and in case you haven't looked at our
[10:17.84]  docs which I imagine is many of you it's
[10:20.16]  in how you build applications and then
[10:21.72]  you can also Infuse AI into the
[10:23.36]  applications that you've built but do
[10:25.08]  you bring it into customer conversations
[10:26.76]  so they bring it in it actually started
[10:28.28]  with our customers so a a lot of our
[10:29.68]  excitement internally around AI we a
[10:31.64]  very customer hypothesis driven
[10:33.40]  organization has come by seeing how our
[10:35.68]  customers have used us so they've built
[10:37.92]  tools to parse their contracts they've
[10:39.60]  built a ton of sales tooling so to have
[10:42.16]  messages draft and categorized and to
[10:44.24]  fit in with personalized use cases by
[10:46.08]  industry they've built a ton of customer
[10:48.16]  Health dashboards that use AI to
[10:49.80]  generate use case ideas or to triage
[10:52.28]  support tickets so it's actually what
[10:54.60]  we've seen is wor what Dom said where
[10:56.36]  we're closer to the line of business so
[10:58.04]  we're selling into the people who
[10:59.96]  actually have a lot more intuition about
[11:01.64]  what they need to build and so by not
[11:03.64]  starting with the machine learning or
[11:05.16]  data science teams by actually starting
[11:06.76]  with the pain points in a business with
[11:08.60]  a practical application of how do you
[11:10.76]  bring AI to solve a problem that we face
[11:12.80]  today that's the PLL we felt from our
[11:14.88]  customers and how we've evolved our AI
[11:17.84]  strategy and enabled our sales team to
[11:20.40]  start to use that messaging up front you
[11:22.72]  mentioned zero interest rate environment
[11:24.20]  being a challenge and a new thing to get
[11:26.28]  one's arms around sales forecasting is
[11:28.48]  even harder to we saw Salesforce I think
[11:30.80]  Miss projections by 40 million and lose
[11:33.60]  50 billion in market cap how do you
[11:36.20]  think about effective sales forecasting
[11:37.92]  State cuz it is harder than ever it
[11:39.64]  would seem it's very challenging we
[11:42.08]  actually built a retool app that's we
[11:44.20]  have a lot of playful names internally
[11:45.72]  it's called the pipeline profit and it
[11:47.68]  is continuously learning so it looks at
[11:49.56]  close rates it looks at creating close
[11:51.16]  in quarter it looks at open Pipeline and
[11:53.44]  it looks at all of the individual reps
