Title     : Need Leads?  The FINAL Sponsor Slots Left for SaaStr Europa on 6-7 June!
Video ID  : LktuyhCAlXc
URL       : https://www.youtube.com/watch?v=LktuyhCAlXc
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 133
Saved at  : 2026-06-20 23:05:30
------------------------------------------------------------

[00:00.02]  okay everybody
[00:02.34]  um what are we excited about we've got
[00:03.72]  saster Europa coming up it's June 6th to
[00:06.60]  7th in London tobacco docs and I'm here
[00:09.54]  with our core team that pop partners
[00:12.72]  with the biggest sponsors across the
[00:15.18]  world from sap to Mutiny to G2 and we
[00:18.66]  want to give you a quick Insight we are
[00:19.80]  almost out of sponsorships for sasra
[00:22.44]  Europa isn't that right David
[00:24.12]  I think we have five left five left okay
[00:26.58]  let's go through it I want to hear from
[00:27.66]  each of you David what what if folks
[00:29.58]  like a booth you know a classic Booth
[00:31.38]  with the monitor with hundreds and
[00:33.72]  hundreds and thousands of lead scans and
[00:35.58]  that classic Buzz that saster does so
[00:37.38]  well what's left what do we have left so
[00:39.42]  yeah we got we only have three gold
[00:41.70]  sponsorships left three Golds okay and
[00:43.50]  Gold's a good deal right that's why it's
[00:44.82]  called gold it's a really good deal
[00:46.08]  right it's the best deal okay and then
[00:48.60]  we got one super gold which is a
[00:51.36]  speaking session oh and then one Premier
[00:53.94]  sponsorship Platinum which also includes
[00:56.28]  the speaking session okay so three goals
[00:58.44]  so we only got five sponsorships left
[01:01.08]  that's not a lot that is it that's not a
[01:03.60]  lot that's not a lot okay so if you will
[01:05.04]  if you love to work an event there's
[01:07.56]  five slots left so reach out to the
[01:09.54]  teams uh sponsors at sasterinc.com and
[01:13.08]  one of these folks is up Kevin I
[01:14.46]  understand some of the best stuff is
[01:17.04]  also available what's left if folks want
[01:19.44]  something really great to interact with
[01:21.30]  thousands we're hoping for 4 000
[01:23.16]  Founders VCS and Executives at South
[01:24.96]  Europa in London June 6th and 7th so
[01:27.18]  Kevin what else is left I think the two
[01:29.46]  things that are top of mind for me one
[01:31.08]  is the big party sponsorship the big
[01:33.12]  party everyone's there right every
[01:34.92]  everyone everywhere
[01:36.96]  um amazing experience tons of fun but
[01:38.94]  your your branding your signage is
[01:40.38]  everywhere you could make a really cool
[01:42.12]  experience invite your VIP customers
[01:44.28]  your prospects
[01:46.02]  um like to me this is my favorite
[01:47.88]  probably the best thing we have
[01:49.80]  um but in the world of everybody wants
[01:52.20]  leads everyone's foot traffic the
[01:54.96]  registration sponsorship I don't think
[01:56.52]  there's anything better every single
[01:57.90]  person has to go through your funnel if
[01:59.46]  you're the registration sponsor right
[02:00.72]  why wouldn't you get that and you have
[02:02.28]  to do like no work this is the beauty in
[02:04.26]  2023 you get all the benefits of no work
[02:06.36]  as the registration sponsor right this
[02:08.40]  is um this is basically handing over
[02:10.56]  leads on a silver platter in my eyes I
[02:13.32]  would get that one today right yeah that
[02:15.48]  that to me is the uh the golden ticket
[02:17.16]  right yeah it goes instantly okay big
[02:18.90]  party registration what else what else
[02:20.64]  do you love that's left
[02:22.56]  um I think outside of that is probably
[02:24.48]  the coffee sponsorship because we live
[02:27.18]  off coffee at these events it keeps us
[02:29.22]  going
[02:30.06]  um it also includes tea Kevin in London
[02:32.70]  yeah
[02:34.94]  English breakfast
[02:36.98]  but you're right that is a classic one
[02:39.18]  for for especially for brand marketers
[02:41.16]  they love it right it's the brand coffee
[02:43.08]  sleeves yeah branded sleeves it's
[02:45.30]  beautiful okay those are the big ones
[02:47.22]  those are the big ones and Amelia who
[02:49.38]  really runs everything in my mind Emilia
[02:51.66]  just to finish this up I actually think
[02:53.10]  everything at Europa is cheaper than
[02:55.14]  last year because we have more people
[02:56.64]  coming to a better location there we
[02:58.86]  talk about inflation on the internet but
[03:00.96]  what about deflation what about things
[03:02.52]  where you get more this year where you
[03:05.04]  get for where you pay the same but you
[03:06.60]  get more talk about for just a second
[03:08.10]  then we'll break how do you actually get
[03:09.60]  more this year for your same dollar for
[03:11.46]  SAS Europa and for saster annual It's
[03:13.02]  actually an amazing deal isn't it oh
[03:15.24]  it's a great deal I think listen
[03:16.82]  faster's done folks that we have come to
[03:18.96]  Barcelona
[03:20.10]  we had 22.50 okay so if we have 4 000
[03:24.18]  come to Europa yeah and it's the same
[03:26.88]  price yeah someone whip out a calculator
[03:29.28]  how much cheaper is this event if the
[03:31.86]  sponsor is the same but you multiply
[03:34.22]  2200 divided by 4 000. it's like 60
[03:37.32]  cheap this is deflation
[03:40.64]  yeah yeah I think about this in terms of
[03:43.08]  a price per lead price per meeting price
[03:45.42]  per use is a good this is the best
[03:47.16]  disaster Europa and annual this year are
[03:49.08]  the best deals ever aren't they because
[03:50.64]  everything's the same price as last year
[03:51.90]  but pretty much right yeah they really
[03:53.46]  are I mean listen it's after internally
[03:55.74]  has basically eaten the inflation so
[03:58.68]  that we can deflate for our whether
[04:00.90]  you're sponsoring or attending we're
[04:02.76]  trying to keep you know everything the
[04:04.26]  same
[04:05.40]  um but more people so so yeah I think
[04:07.80]  inflation's a magical deflation your
[04:10.20]  sponsor dollar goes further in 22.3 with
[04:13.80]  your good friends your partners your
[04:15.84]  pals that's faster okay everybody thanks
[04:18.24]  for the Insight the G2 everyone's
[04:22.40]  www.sastereuropa.com or if you're not
[04:24.48]  sure how to spell it
[04:26.72]  www.sasterlondon.com they go to the same
[04:28.62]  place six to seven June the super hip
[04:31.32]  East London 4 000 Cloud professionals
[04:34.44]  coming together and pretty much all of
[04:36.36]  them are going to want to buy your
[04:37.26]  product see you then
