Title     : Peter Gassner, CEO of Veeva:  "Revenue Follows People.  But Fewer, Better Sales Reps Are Better."
Video ID  : EAmh1vzAFoY
URL       : https://www.youtube.com/watch?v=EAmh1vzAFoY
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 79
Saved at  : 2026-06-20 23:34:45
------------------------------------------------------------

[00:04.56]  there's sort of two models that people
[00:06.08]  come and sass does does revenue drive
[00:07.76]  head count or does head count drive
[00:09.36]  revenue
[00:10.00]  and it sounds like you're you're
[00:10.96]  squarely in the former camp that you
[00:12.72]  derive head count from revenue
[00:14.56]  no no i actually drive revenue from head
[00:17.84]  count but i make sure i have enough
[00:19.92]  stock to weigh
[00:20.80]  i any revenue that's generated in viva
[00:23.92]  is because of people well for sure yeah
[00:26.56]  and you gotta
[00:27.36]  you gotta hire those if you want revenue
[00:30.00]  four years from now
[00:31.20]  you got to hire those people now yeah
[00:33.68]  right we're starting up a brand new
[00:35.92]  probably our biggest product area to
[00:37.84]  date and this year we hired 30 people
[00:42.08]  those people produce real good revenue
[00:44.32]  for viva
[00:45.36]  four or five years down the road that's
[00:47.12]  when that will be a hundred plus million
[00:48.80]  dollar business
[00:49.92]  but you gotta hire them now so revenue
[00:52.40]  follows the people
[00:53.68]  how do you think of related that how do
[00:55.76]  you think about
[00:56.96]  how many of your sales teams should
[00:58.24]  perform like how do you think about that
[01:00.08]  do you believe in that bell-shaped
[01:01.20]  distribution
[01:02.48]  development sales sales people if
[01:05.52]  you're waiting four years further and
[01:06.56]  perform it's terrible if you have that
[01:08.64]  attrition isn't it yeah
[01:10.00]  no i'm really thinking more about the
[01:11.60]  product the ingredients and the product
[01:13.28]  people that's like a soup that
[01:14.72]  that has a they they start to hit their
[01:16.48]  stride the product has a four-year
[01:18.40]  cooking cycle right it's a soup they're
[01:20.08]  like oh my god
[01:21.28]  i want to eat it four years from now i
[01:22.56]  got to start cooking it now really
[01:24.84]  that's that's not good
[01:27.68]  but yeah product takes a long time with
[01:29.68]  sales you know we have a philosophy that
[01:32.00]  we say we don't
[01:32.88]  we don't over cover so we want to leave
[01:35.28]  top line revenue on the table we don't
[01:37.36]  want to get all the top line revenue
[01:39.52]  because if we if we push all the way for
[01:41.92]  that we will get some inefficiencies and
[01:43.92]  that's not so good
[01:45.12]  but also we will get bad customer
[01:47.12]  feeling yeah because a desperate rep
[01:49.12]  will do desperate things
[01:50.88]  and the reps in front of the customer
[01:53.04]  and they'll feel it
[01:54.00]  you don't want those desperate things do
[01:55.28]  you no because for us we have many
[01:57.36]  customers
[01:58.24]  that are you know they're over 20 well
[02:01.44]  over 20 million dollars a year
[02:03.44]  customers from us do we want them ever
[02:06.80]  having have relationships right yeah
[02:08.88]  this is these are 20-year relationships
[02:11.12]  do we want somebody in there saying i
[02:14.00]  gotta close this thing on
[02:15.44]  my quarter because of my commission and
[02:18.16]  i don't really care that you're paying
[02:19.52]  us 20 million
[02:20.24]  a year so you the way you do that is you
[02:22.48]  you don't you
[02:23.60]  sacrifice top line revenue and you don't
[02:26.56]  put too many reps on there
[02:28.00]  so then the rep is not desperate
[02:36.56]  you
