Title     : Playbook To  Re-Igniting Growth with Predictable Revenue Co-Founder | SaaStr Software Community
Video ID  : HX-Ae_KcbyM
URL       : https://www.youtube.com/watch?v=HX-Ae_KcbyM
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 758
Saved at  : 2026-06-20 23:49:55
------------------------------------------------------------

[00:12.07]  [Music]
[00:14.59]  what I was going to talk about today is
[00:16.00]  the playbook for reigniting or even
[00:18.13]  igniting growth and if you aren't
[00:21.25]  familiar with me like it really I said
[00:25.24]  helped create a new outbound process at
[00:26.92]  Salesforce calm good job guys thank you
[00:29.20]  and then since then I left Salesforce a
[00:32.29]  long time ago
[00:33.25]  really I've worked with lots of
[00:34.33]  companies and really been fast and with
[00:35.89]  how do you repeat growth how do you
[00:37.90]  engineer gross how do you make growth
[00:40.08]  predictable and then Jason and I did a
[00:43.09]  book called impossible to get that's
[00:45.22]  again too many syllables
[00:46.24]  Extender a little dice impossible to
[00:48.85]  inevitable which was just updated a
[00:51.13]  couple months ago some of you might have
[00:52.36]  gotten a copy this morning he got 50
[00:54.37]  copies so from the newest update of the
[00:56.80]  impossible book I'm going to share the
[00:58.75]  best practices for igniting a reigniting
[01:01.36]  growth so like the latest lessons
[01:03.13]  learned yeah I mentioned lots of kids
[01:06.04]  right okay Ruby on not interesting at
[01:11.56]  all is it by fun fact
[01:14.08]  gonna do another book or something about
[01:17.53]  how to not in balance it was kind of
[01:19.42]  integrate how do you make more money
[01:20.98]  while being a better parent I don't I
[01:24.31]  guess I've done a lot of that I don't
[01:25.93]  feel like an expert but growing a five
[01:28.27]  million dollar business while having ten
[01:29.80]  kids so that's been an interesting
[01:31.27]  journey over eight years
[01:32.50]  so from impossible to inevitable second
[01:35.65]  edition here's a couple of the
[01:36.67]  highlights and I'll share them today
[01:38.71]  right how this company called Sage mount
[01:40.36]  there are two billion dollar private
[01:41.56]  equity firm triples evaluations of their
[01:43.78]  investments in three years how to Leo
[01:46.27]  nailed the billion dollar niche or Anish
[01:48.22]  if you're any from Canada or Europe and
[01:51.82]  uncommon practices of hyper growth GMOs
[01:54.39]  okay before we dive in by the way anyone
[01:56.80]  here from Scotland or the UK okay couple
[02:01.39]  we're moving to Edinburgh in October so
[02:03.58]  yay because you know we don't have
[02:05.98]  enough to do with that many kids so one
[02:09.40]  of the biggest trends and you if you're
[02:11.20]  downstairs this morning you would a
[02:12.28]  permanent mention this is this rise of
[02:15.19]  overwhelmed there's more of everything
[02:17.74]  there's more apps there's more content
[02:19.33]  more channels more messages more like oh
[02:21.10]  my god my head's gonna explode so what
[02:24.91]  does that mean
[02:25.90]  for everyone here right and this is it
[02:28.30]  can infect your customers in fact affect
[02:31.53]  your customers as well as your
[02:33.43]  salespeople they both have the same
[02:35.29]  thing on like what do I sell what do I
[02:37.84]  do I have too many apps I'm a
[02:39.37]  salesperson I've got too many apps to
[02:40.78]  use or have too many types of customers
[02:42.55]  or too many things and a customer
[02:44.44]  there's too many apps there's I know
[02:46.24]  10,000 sales apps now or 10,000
[02:48.31]  marketing apps so that's I think that
[02:51.34]  uber train and that affects everything
[02:52.75]  here so really a lot of what comes down
[02:54.97]  to growing is focus so here are some
[02:59.26]  reasons why growth stalls or it doesn't
[03:02.05]  start in the first place so for example
[03:05.08]  you're trying to skip a step and I'll
[03:07.15]  explain that I get this from David's
[03:08.53]   I loved it actually when he said it
[03:10.09]  made so much sense companies don't have
[03:12.97]  enough sales roles now how many people
[03:15.85]  here have read predictable revenue yeah
[03:18.43]  okay pretty much everybody it's fine
[03:20.29]  there's lots of cities you asked that
[03:21.70]  and there's like a couple hands go up
[03:23.17]  come on come on but okay if there's not
[03:25.66]  enough sales rules
[03:27.84]  you don't mean it's people still have
[03:30.07]  muddy lead generation metrics we have
[03:33.79]  this theoretical messaging like we
[03:36.43]  haven't like nailed our niche in terms
[03:37.63]  of the messaging and a targeting that we
[03:39.16]  really need to do to figure out who our
[03:40.72]  ideal customer is and the last one is a
[03:42.91]  lot of times sales and marketing if
[03:44.71]  you're big enough to have sales and
[03:46.09]  marketing cuz I know some of you aren't
[03:48.18]  they don't always work together anyway
[03:51.24]  skipping a step skipping a step pretty
[03:55.21]  simple so from David's he has these
[03:59.32]  big three things it's a new presentation
[04:00.97]  he's developing first you get product
[04:03.52]  market fit then you create predictable
[04:06.43]  revenue and then you scale now the
