Title     : Preparing for Black Swan Events.  There Will Be A Few.
Video ID  : boxz1Vz9PQo
URL       : https://www.youtube.com/watch?v=boxz1Vz9PQo
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 254
Saved at  : 2026-06-20 23:12:25
------------------------------------------------------------

[00:00.06]  so uh when you have like the events as
[00:03.00]  industry was like down right yeah I mean
[00:05.16]  like no one could deliver anything and
[00:06.90]  that was going on for like the entire
[00:08.40]  year you have to postpone even by like
[00:10.14]  18 months after yeah we lost 10 million
[00:12.12]  dollars right so how as a leader what
[00:14.88]  helped you to recover uh from a disaster
[00:17.10]  like that I'm just curious to know like
[00:19.02]  what was your mindset and what steps did
[00:21.36]  you take well it's funny if you really
[00:22.38]  want to talk about it um you know did
[00:24.78]  you hear the HubSpot one we're here for
[00:26.16]  this
[00:26.96]  well so Brian Hall again the co-founders
[00:29.82]  here I mean hubspot's worth almost 20
[00:31.02]  billion Brian right after kovid drove
[00:34.20]  had a horrible snowmobile accident broke
[00:35.70]  everybody in his body almost lost him
[00:38.40]  and um
[00:40.02]  and it's crazy and you can watch the
[00:41.58]  session later it's great I mean he he
[00:42.96]  barely recovered um he looked he's great
[00:44.88]  now but it was it was a long roll back
[00:46.50]  from falling off a big cliff on the
[00:48.06]  snowmobile in the dark um and had to be
[00:50.22]  airlifted out and I think he broke 40
[00:51.84]  bones or something terrible
[00:53.46]  um and I asked them a question after
[00:54.78]  that like it's a black but from a
[00:57.24]  corporate perspective it's a Black Swan
[00:58.74]  event right it sounds crazy and my
[01:01.44]  experience in my career every five to
[01:03.30]  seven years I've had a Black Swan event
[01:05.46]  and I asked them if there were others at
[01:06.84]  HubSpot and interesting they didn't have
[01:08.16]  another one right but I can think back
[01:10.80]  every four or five years I can think of
[01:13.98]  one and I if I wasn't tired I actually
[01:16.14]  wrote a tweet and I listed all of the
[01:17.64]  Black Swan events I've had in my career
[01:19.14]  and they happened somewhat they're
[01:21.00]  unpredictable but regularly on the four
[01:22.92]  to six year Cadence and so when covet
[01:26.64]  hit and the night came that Santa Clara
[01:29.58]  was shutting everything down and we had
[01:30.96]  to cancel it two days before the team
[01:33.66]  was
[01:34.74]  Beyond upset right I mean I mean how as
[01:37.62]  a leader right I mean just action and um
[01:40.50]  I was driving and pushing and pushing
[01:42.30]  and we went we had to shrink from three
[01:44.16]  days or two days as speakers cancel and
[01:46.32]  we had to do all these things and we
[01:47.70]  were down to like an afternoon event by
[01:50.04]  the end we had we had a core group of
[01:51.78]  folks that still wanted to do it and we
[01:53.04]  still would have done it right and then
[01:54.78]  the night before I realized we had to
[01:56.46]  call we had to call we had to call foul
[01:58.32]  like it was there was just no more way
[01:59.76]  when this tweet went out that Santa
[02:01.20]  Clara County was prohibiting any
[02:02.58]  Gathering even though there was no covid
[02:04.14]  really in the U.S yet
[02:06.00]  um then I realized and then that minute
[02:07.86]  I'd had Black Swan events before right
[02:10.86]  and I want to give you another story at
[02:12.12]  the end and I I went to you know Amelia
[02:13.98]  who you met who she was tougher ahead of
[02:16.08]  time I mean the team was devastated and
[02:17.70]  I just okay we're we're done let's we
[02:19.80]  sat down and for five hours until three
[02:21.66]  in the morning we just planned out our
[02:23.52]  best responses and the team's better
[02:25.86]  than me and they're great but I had been
[02:27.30]  through the Black Swan event so
[02:28.74]  immediately I went into Black Swan mode
[02:31.32]  right I just okay it happened I was I'm
[02:33.90]  not expecting it to happen but boom I
[02:35.64]  know what you do and you gotta flip the
[02:37.98]  plan and you gotta immediately be a
[02:39.72]  leader and change and I think if you ask
[02:41.52]  like puya who's our number one sales rep
[02:43.80]  he's closed 28 million he was he's here
[02:46.32]  he's so great I don't know if he's here
[02:47.40]  right now but he was just devastated but
[02:48.78]  he'd worked so hard right and he's like
[02:50.88]  I thought it was a crappy leader but
[02:52.68]  he's like you were such a great leader
[02:54.00]  through that because you were just I
[02:55.38]  don't know how you were so calm but
[02:56.70]  that's what happens when you've been
[02:57.96]  through a couple a couple Black Swan
[03:00.48]  events right
[03:01.92]  um but related to that there's an email
[03:04.02]  if I did I put it so
[03:06.24]  I look for them now and as a leader as
[03:08.94]  crazy sounds I think you have to look
[03:10.38]  for Black Swan events I think you have
[03:12.66]  to look for them because you'll start to
[03:14.22]  see them and like in January of 2020 the
[03:18.00]  CDC put out an email that said covid
[03:20.64]  might be an issue for travel
[03:22.68]  and I I wish I had I put on screen I
[03:24.48]  immediately forward it to Amelia and I
[03:26.40]  said my literally emails is this is
[03:28.32]  probably our Black Swan event this year
[03:30.90]  because I knew the signs I'd felt it
[03:32.64]  before and every year for saster there's
[03:35.22]  some except for this year this is our
[03:36.42]  best year in terms of execution but
[03:38.52]  every other year for eight years there
[03:39.66]  was a little Black Swan event for us
[03:41.16]  right something blew up
[03:43.26]  um you know one year the person that ran
[03:45.24]  it forgot to
[03:46.40]  reserve the venue that was pretty bad
[03:49.40]  oh my God okay
[03:52.20]  um even this year one of the big vendors
[03:54.36]  for us quit three weeks ago they quit
[03:56.16]  three weeks ago a key vendor that we've
[03:57.60]  relied on for years they just quit they
[03:58.62]  didn't want to do the work okay so those
[04:00.18]  things used to destroy us we built
[04:02.58]  redundancy we built resiliency so the
[04:05.16]  minute that vendor quit after four years
[04:07.10]  Ashley from Montgomery entertainment
[04:09.06]  officer she's one of the best that
[04:10.14]  producer she just stepped up and Emilia
[04:11.76]  stepped up when he fixed it right it
[04:12.90]  wasn't easy but kudos to her and she's
[04:15.00]  not hearing this hopefully she sees our
[04:16.50]  my appreciation in the video
[04:18.72]  um but so now I plan I plan for them
[04:20.70]  right and so I'm not saying you
[04:21.78]  literally have to plan for a snowmobile
[04:23.16]  accident or a pandemic but you want to
[04:26.88]  think what what could really what what
[04:29.10]  kind of things could screw this company
[04:30.36]  up what if the what if the round doesn't
[04:32.16]  happen what if um what if my co-founder
[04:34.86]  quits like like for example like someone
[04:37.08]  on your executive team is going to quit
[04:39.00]  that you don't expect and when I do
[04:42.06]  I don't ask these questions of the CEOs
[04:43.74]  anymore but I used to in the early days
[04:44.82]  you watch the videos I'd always ask like
[04:46.74]  was there a great VP that quit on you
[04:48.36]  and every everyone has the story Aaron
[04:49.86]  levia box had this story one of the
[04:51.84]  interviews I did with him is how their
[04:52.92]  first VP events quit and he thought they
[04:54.66]  would never recover right they lost
[04:56.10]  their VP events you thought the world
[04:57.42]  had ended and it probably had but and
[04:59.34]  now I always plan for a VP to leave and
[05:01.92]  and like you know the ones that won't
[05:04.08]  leave but even then something could
[05:06.00]  happen right something in their life and
[05:08.34]  so that's one that every founder should
[05:10.20]  plan for which is that one of your most
[05:12.36]  trusted teammates
[05:14.16]  for some reason leaves you lose them
[05:16.62]  like it could be a snowmobile accident
[05:18.00]  for HubSpot it could be a personal issue
[05:20.40]  it could be a home issue it could be you
[05:23.04]  don't realize how stressed they are and
[05:24.60]  they just quit to go on a walkabout but
[05:26.34]  that's one if you plan for nothing else
[05:28.26]  plan on someone a key right-hand person
[05:30.84]  that you would never think leaving leave
[05:33.12]  and so have a calm plan what would you
[05:35.46]  do if they quit how would you handle it
[05:36.84]  think about it on a walk when you're
[05:38.28]  calm so that when something like that
[05:40.38]  hits like losing 10 million like I knew
[05:43.08]  I didn't know exactly what to do but I
[05:45.30]  knew Emilia too we called the lawyers we
[05:46.80]  called the people we called the vendors
[05:47.82]  like the folks that do this AV stuff
[05:49.68]  this is a million and a half bucks these
[05:51.12]  lights so the trucks that already
[05:53.22]  started rolling from Texas we
[05:54.48]  immediately called them and saved about
[05:55.68]  seven hundred thousand dollars because
[05:56.76]  the trucks turned around
[05:58.68]  um I mean that's a specific example onto
[06:00.42]  a SAS company but think about people
[06:02.34]  Black Swan events team Black Swan events
[06:04.56]  don't spend all your time on them but if
[06:06.66]  you're gonna go long like you're gonna
[06:09.06]  have a snowmobile accident or a global
[06:10.92]  pandemic or friggin Twin Towers being
[06:14.52]  hit by an airplane I mean I've been
[06:15.84]  doing startups long enough to remember
[06:17.04]  the day when the Twin Towers went down
[06:18.48]  right and uh almost to to morbid to talk
[06:22.56]  about in the afternoon I can keep
[06:23.46]  thinking of the 28 2000 in 2000 I mean
[06:26.58]  most of you weren't Founders in 2008
[06:28.50]  2009 that that it's was so bad in 2008
[06:32.52]  or nine I can't remember what
[06:34.32]  I'm sitting at an early SAS like
[06:36.36]  corporate banking event at like Pebble
[06:37.92]  Beach on a beautiful day having wine
[06:40.62]  with like investment bankers and VCS and
[06:42.60]  I get a call on my phone from from our
[06:44.40]  bank Citibank Greg my banker for years
[06:47.04]  through Tuesday Greg how you doing I'm
[06:48.54]  at this event but I love you he's like
[06:50.58]  you got to pull your money out of
[06:51.96]  Citibank I'm like what do you mean
[06:53.04]  citibank's the largest bank in the world
[06:55.08]  he's like I think tomorrow Citibank is
[06:56.46]  going to fail
[06:58.62]  and Citibank it turned out almost did
[07:00.18]  fail like Lehman failed sleeping almost
[07:01.92]  failed and I'm like Greg where do I put
[07:03.84]  my money like do I put it in Silicon
[07:05.40]  Valley Bank what if they fail and he
[07:07.08]  didn't know he's like at least take half
[07:08.40]  your money out because the everyone in
[07:10.50]  the office is talking about we're gonna
[07:11.40]  do a press release tomorrow that
[07:12.36]  Citibank is going to fail now there was
[07:14.10]  a bailout that night and Citibank did
[07:16.50]  not fail in the morning but I'm just
[07:18.60]  rambling through like I never as a
[07:20.46]  Founder thought my bank my bank guy
[07:22.32]  would call me and tell me to pull my
[07:23.58]  money out I didn't know where to I
[07:24.90]  didn't know and one the banks were
[07:26.52]  closed at 3 P.M where am I going to wire
[07:28.20]  out half of my 8 million Adventure
[07:30.48]  Capital like I don't know but um but so
[07:33.60]  I could I could think of more of those
[07:36.60]  um my co-founder at Echo sign 10 months
[07:38.70]  in like my muse walked out the door and
[07:41.16]  never came back
[07:43.26]  never came back I never fully recovered
[07:45.66]  from that right
[07:47.04]  um and so anyhow that rambly but think
[07:49.50]  about those when you're if you're if
[07:51.18]  you're going short don't worry about
[07:52.38]  this stuff don't plan around if you're
[07:53.70]  going short right don't worry but if you
[07:55.26]  think in terms of a decade like Renee
[07:56.70]  from build.com calmly think about what
[07:58.86]  you're going to do when these things
[07:59.70]  happen and then when they when it
[08:00.96]  happens once every five years you'll
[08:02.64]  like spring spring into action like I
[08:03.96]  did right
