Title     : Product-Led Growth: Panacea or Boondoggle? | AgentSync Co-Founder/CTO  + OpenPhone Co-founder
Video ID  : L4oRfut9ufI
URL       : https://www.youtube.com/watch?v=L4oRfut9ufI
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 969
Saved at  : 2026-06-20 23:23:47
------------------------------------------------------------

[00:05.20]  um i'm brian murray i'm partner and ceo
[00:08.00]  at craft ventures
[00:10.08]  i've had the
[00:11.84]  extreme pleasure of working with my two
[00:14.24]  guests here
[00:15.68]  dorina coulia co-founder of open phone
[00:18.24]  and jen knight co-founder of agent sync
[00:21.04]  and if there's one acronym i've heard
[00:23.92]  over and over and over at this
[00:25.20]  conference it's plg
[00:26.96]  so we might as well talk a little bit
[00:28.32]  more about that and actually why maybe
[00:30.64]  it's not always a great idea
[00:32.64]  um
[00:33.60]  so i got the slides here
[00:36.80]  okay wanted to set set the table a
[00:38.64]  little bit um i think the reason why
[00:41.52]  this plg meme is just so resonant is
[00:44.64]  because there's something real to it
[00:47.28]  there's clearly been a trend in how
[00:48.88]  software has been delivered in the b2b
[00:51.28]  space
[00:52.88]  we pulled up some charts here so on the
[00:54.56]  left you can just see the number of plg
[00:57.20]  ipos since 2012 it's been
[01:00.88]  hockey sticking
[01:02.48]  similarly the performance of these
[01:04.72]  stocks
[01:05.76]  relative to nasdaq index
[01:08.96]  or just general tech stocks plg seems to
[01:12.08]  see some somehow performance
[01:14.56]  um so for good reason we're talking
[01:16.48]  about this but we should think more
[01:19.92]  my view is that we should think a lot
[01:21.20]  more critically about what we're taught
[01:22.80]  like what is plg why is it so important
[01:24.80]  and that's what we've got two experts
[01:26.96]  here to to lead that discussion today
[01:29.44]  um
[01:30.48]  i'm gonna zip through these slides but
[01:32.00]  in a in a the most distilled version the
[01:35.12]  way i think about plg is look at a
[01:36.72]  product's website does it say try it or
[01:39.12]  does it say talk to someone um get a
[01:41.52]  demo or try for free that's usually what
[01:43.28]  you see and that that sort of
[01:45.28]  distinguishes a bottom-up plg company
[01:47.92]  from
[01:48.72]  a abm account based marketing or sales
[01:51.76]  led company
[01:54.96]  so a few again just set the table a few
[01:57.28]  of the merits of plg usually it's high
[02:00.00]  margin lead gen shorter sales cycles
[02:03.44]  you get some marketing and brand
[02:04.96]  externalities
[02:06.40]  and it forces you to have a very good
[02:08.80]  product on the other hand
[02:11.12]  it forces you to have a very good
[02:12.32]  product so you can't hide behind
[02:13.76]  anything you have less control of your
[02:15.28]  sales cycle
[02:17.52]  i used to work at yammer the sales team
[02:19.52]  would often complain that their biggest
[02:21.20]  competitor was a free version of yammer
[02:23.28]  so you introduced that
[02:24.80]  competitor which is yourself
[02:27.60]  but
[02:28.32]  uh rather than me ramble on about this
[02:30.40]  let's turn it over to the expert so i
[02:32.00]  want to start with
[02:33.84]  with jen knight again co-founder of
[02:35.44]  agentsync um jen i want to hear a little
[02:37.84]  you guys have been absolutely crushing
[02:39.52]  it so congratulations on all your
[02:41.12]  success
[02:42.24]  not a bottom-up company nope not at all
[02:44.96]  um but you've worked at plenty of
[02:46.32]  bottom-up companies i have so would love
[02:48.40]  to hear about your history so how you
[02:50.80]  you know what happened before you get
[02:52.32]  you and need you started agent sync how
[02:54.56]  you guys have thought through um you
[02:56.32]  know your go to market motion
[02:58.24]  i'll have a few follow-up questions from
[02:59.52]  there yeah so
[03:01.28]  my co-founder and i met at linkedin he
[03:03.44]  was in tails operations i was in sales
[03:05.60]  systems and that was where we learned
