Title     : SaaStr AI 2027: The Secrets to AI + B2B.  May 11-12 in SF Bay
Video ID  : aBogUp_fIAM
URL       : https://www.youtube.com/watch?v=aBogUp_fIAM
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 34
Saved at  : 2026-06-20 22:29:32
------------------------------------------------------------

[00:07.04]  We are sester [music]
[00:12.16]  is an incredible conference because it
[00:13.76]  brings together a lot of curious people
[00:16.08]  who are builders [music] by nature and
[00:18.48]  are looking to learn from one another
[00:20.16]  and learning to identify best practices
[00:22.88]  to shape their companies and and who
[00:24.88]  they can partner with [music] in the
[00:26.08]  upcoming year. And it's just fun. And
[00:27.92]  now with the huge shift of AI where
[00:29.84]  things [music] happen so fast, this is
[00:32.00]  where the best conversations happen. You
[00:34.16]  have to be here. And also in terms of
[00:36.08]  networking, the [music] event, the side
[00:37.68]  events really not to be missed.
[00:39.36]  >> Brings in about 10,000 people from all
[00:41.20]  over [music] the world.
[00:41.92]  >> What does it mean to be AI in the SAS
[00:45.60]  space and what should we be looking for
[00:47.84]  now? Not doing something [music] in AI,
[00:51.12]  you are you're exponentially being left
[00:53.52]  behind.
[00:54.08]  >> We're in the age of AI now. The
[00:55.60]  applications are different. The world is
[00:57.04]  moving. so much faster. But [music] the
[00:58.48]  mission and the value is the same.
[01:00.32]  Share, scale, learn.
[01:02.56]  >> It feels like we're in the [music] hot
[01:03.76]  bed of the future.
[01:04.88]  >> This is one of the most exciting events
[01:06.32]  I've ever been to.
[01:07.28]  >> We are Sasser.
[01:08.32]  >> We are Saster.
[01:09.20]  >> We are Saster.
