Title     : SaaStr AI London:  What It's Really Like; See Everyone Dec 1-2 2025!!
Video ID  : -tYnFfGWo3s
URL       : https://www.youtube.com/watch?v=-tYnFfGWo3s
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 147
Saved at  : 2026-06-20 22:47:22
------------------------------------------------------------

[00:00.08]  arriving at the event my first
[00:01.44]  impressions were pretty good I was one
[00:03.00]  of the first ones to arrive so I didn't
[00:04.76]  even have to wait in line to get my
[00:06.24]  badge got my badge got my coffee had a
[00:08.56]  walk around organization was superb why
[00:10.72]  did others want to attend and what were
[00:12.48]  their key takeaways let's check them out
[00:14.88]  um so I am building a BB sess company so
[00:17.88]  for me having all of this sort of
[00:20.00]  knowledge and connections all in one
[00:22.08]  place is incredibly valuable I've been a
[00:24.00]  two other SS so I know it's a great
[00:26.24]  Community uh and we've actually just
[00:28.24]  rolled out a new sales method theology
[00:30.52]  so there's not a better opportunity to
[00:32.36]  work with uh SAS companies and leaders
[00:34.52]  and and try to help them scale and grow
[00:36.36]  been uh kind of consuming a lot of the
[00:38.44]  Sasa content uh both the state side once
[00:41.28]  for annual as well as Europa uh virtual
[00:43.68]  for a few years now well the reason I
[00:46.08]  attended sast in the first place was I
[00:48.64]  followed Jason lkin I attended a lot of
[00:51.28]  his online um uh webinars uh that they
[00:54.56]  do every Wednesday and some of the
[00:56.56]  topics were of great interest to me so
[00:58.52]  as a as a as a found ER and a startup uh
[01:01.52]  I felt that this would be a place to
[01:03.08]  come to I wanted to attend saster to
[01:06.04]  network get to know people in SAS World
[01:08.68]  um and it's my first event and it's been
[01:10.80]  going great so I came across sasra
[01:12.84]  through Jason's content on Twitter so
[01:14.96]  I'm a huge fan of the stuff that he puts
[01:16.72]  out there um as I'm personally grow my
[01:19.24]  career in the SAS industry I found it
[01:21.44]  really easy to consume information so
[01:23.64]  that brought me to the event today and
[01:26.00]  uh yeah it really reflects the stuff
[01:27.80]  that he puts out there it's been great I
[01:29.48]  think it's a combination of two things
[01:31.80]  first is the the startups and the
[01:33.52]  founders who who are here and then
[01:35.24]  secondly the content which is which is
[01:37.12]  really good I'd say definitely the
[01:39.12]  networking opportunities at the end um
[01:41.96]  where you build those relationships has
[01:43.56]  been probably the most important part
[01:45.60]  for us it's very helpful to expose
[01:47.88]  myself to smart people that are not um
[01:51.92]  uh willing to accept the status quo and
[01:54.32]  present them my ideas and get challenged
[01:56.56]  by these people and that's what happens
[01:58.56]  here a lot of bright people
[02:00.52]  a lot of constructive non-conformists
[02:03.12]  I'm building a sales uh product myself
[02:05.76]  so of course I wanted to connect with
[02:07.60]  other uh sales and marketing leaders and
[02:10.40]  uh pitch my product but also learn from
[02:12.24]  uh others as well heard a lot of such
[02:15.08]  things about uh how amazing this
[02:17.12]  conference is and that inspired me that
[02:19.96]  let me have a look at Europe first and
[02:22.28]  then think of the US one the the
[02:24.72]  combination of real heavy weights who
[02:27.08]  know what they're talking about who are
[02:29.32]  here sh Shing like their key lessons and
[02:31.80]  takeaways from personal experiences they
[02:34.36]  have had in the industry whether that's
[02:35.64]  on the investor side or the building
[02:37.40]  side of things obviously really great
[02:39.44]  you end up with some things that really
[02:40.92]  kind of stick in your mind so for
[02:42.92]  example um last year for me that was
[02:45.60]  about building a team and how much
[02:47.40]  Equity you would give to different
[02:48.84]  people joining at different parts in the
[02:50.44]  journey and it seems like a really silly
[02:52.28]  thing but it's it's not something that's
[02:53.56]  spoken about a lot so uncovering those
[02:55.76]  things um but also the people that you
[02:58.80]  meet everyone is is building in this
[03:01.32]  space everyone has big Ambitions and at
[03:04.16]  different scales so everyone has either
[03:06.24]  got advice or case studies or something
[03:09.80]  to offer that's relevant to you most SAS
[03:12.48]  companies still are in way too reactive
[03:15.56]  mode and so they've tried to cut their
[03:17.28]  way to growth and they realized that's
[03:18.64]  not working they have competition
[03:20.32]  creeping in from all sides and so
[03:22.56]  basically what you see is people trying
[03:24.08]  to find a resettling of how do they go
[03:25.76]  more proactively out and find the right
[03:27.28]  kind of business then how do they
[03:29.00]  actually get their good toet teams to
[03:30.40]  work all the way through the process to
[03:32.24]  build high quality business and not just
[03:33.76]  transactional business sessional digital
[03:35.68]  Cs and how we can scale a CS strategy
[03:37.76]  across the PB SAS business which is uh
[03:40.28]  hugely appliable what I do at Pro Max
[03:42.28]  which is awesome everyone is very um
[03:44.80]  open to like talking to you sharing what
[03:47.76]  they do listening to what you do and
[03:50.76]  also following up later and staying in
[03:52.48]  touch go for me it's the uh reoccurring
[03:56.40]  theme of AI so um we use it in our
[03:59.28]  organization it's in our products but
[04:01.00]  for me it's uh when you go through a
[04:04.00]  number of different talks and it's just
[04:06.20]  constant and I think it's just re uh
[04:10.60]  reemphasize me how ground baking it is
[04:13.20]  right now and how much it's going to
[04:14.08]  change our industry so it's it's making
[04:16.04]  me think a bit hard about how we can
[04:17.24]  utilize it our company and also how it's
[04:19.60]  going to impact our customers what was
[04:21.12]  very interesting is about the product Le
[04:23.76]  grow versus sales L grow the combination
[04:26.00]  of both so there were some like really
[04:27.92]  Co cool informative sessions and and um
[04:30.36]  the one also on product Market Feit by
[04:32.60]  octopus uh Ventures that was that was
[04:35.24]  also really nice today today has been a
[04:37.00]  bit more AI driven so I've enjoyed that
[04:39.40]  but turns out they've got it all today
[04:41.12]  anyway so that sales is changing a lot
[04:43.92]  um so AI has been uh has been a big big
[04:47.52]  change uh in sales and marketing and um
[04:50.40]  yeah we need to be aware of that and we
[04:52.04]  need to adapt our sales motions you need
[04:54.60]  to think of the holistic uh uh strategy
[04:58.08]  to you know run the produ like growth
[05:00.84]  but the real treat at the end of the
[05:02.16]  event was that Jason dumin himself
[05:03.88]  hosted a Q&A session where you could ask
[05:06.08]  him anything and he would give his two
[05:08.00]  cents on the topic and at the end of
[05:09.64]  that session you could catch him for a
[05:11.04]  short conversation at happy hours where
[05:12.72]  you can just get his two cents on
[05:14.24]  whatever was on your mind he was totally
[05:16.28]  down to earth and helpful despite being
[05:18.44]  exhausted by the end of the event so
[05:20.08]  that was a real cherry on top
