Title     : SaaStr Annual 2021 is almost here! Sept 27-29, All Outdoors. The Biggest Cloud Event in the World
Video ID  : uVfBWZLSpbg
URL       : https://www.youtube.com/watch?v=uVfBWZLSpbg
Language  : Japanese (auto-generated) (ja)
Generated : Yes (auto-generated)
Snippets  : 11
Saved at  : 2026-06-20 23:34:07
------------------------------------------------------------

[00:00.38]  あった
[00:01.26]  [拍手]
[00:05.60]  t
[00:14.24]  [音楽]
[00:17.31]  [拍手]
[00:21.05]  [音楽]
[00:35.00]  bitshare
[00:38.09]  [音楽]
[01:02.20]  [音楽]
[01:16.72]  [音楽]
[01:23.13]  た
