Title     : SaaStr Annual 2023, Sep 6-8:  Where The Next Fortune 500 Meet
Video ID  : 9X0BKe3yyF0
URL       : https://www.youtube.com/watch?v=9X0BKe3yyF0
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 49
Saved at  : 2026-06-20 23:03:37
------------------------------------------------------------

[00:00.58]  [Music]
[00:01.88]  we're in the most dynamic business world
[00:05.70]  and Market that Humanity has ever seen
[00:08.46]  if you're not constantly thinking about
[00:10.20]  the nuances of the market you're serving
[00:13.44]  and how their needs are changing you're
[00:15.42]  going to be left behind
[00:17.82]  you have a opportunity with an industry
[00:21.00]  that is at a once in a lifetime point of
[00:23.70]  inflection where its future is going to
[00:25.74]  be completely different than it's past
[00:28.14]  we go our whole lives looking for
[00:29.82]  opportunities that are as large and as
[00:31.44]  meaningful as this one I think
[00:33.96]  everything's changing all the time I
[00:35.70]  think it's changing so fast we don't
[00:37.38]  even really realize the change is
[00:38.58]  happening I mean considered that the
[00:40.56]  Fortune 500 we see today didn't exist 10
[00:42.84]  years ago what exists here at sassler
[00:44.88]  today is the fortunate of the next 10
[00:47.04]  years only the leaders who are committed
[00:49.26]  to improving themselves that can stay
[00:51.30]  with a company and actually lead it
[00:53.28]  effectively assembling the right team
[00:55.92]  who really feels like they can
[00:57.24]  accomplish something great together
[00:58.38]  nothing can bring it down we always at
[01:01.02]  the feeling deep inside that we're on to
[01:04.26]  something we're not in the world where
[01:06.54]  you can you can start a business where
[01:08.94]  you have a bad place to work
[01:10.32]  organizations who want to compete if all
[01:13.38]  four of their core experiences are not
[01:15.60]  being run well they're not going to last
[01:17.70]  very long
[01:18.78]  no matter how big they are today
[01:22.68]  I get an amazing place for people to do
[01:25.50]  the best work of their lives how do you
[01:27.60]  make sure that people feel the
[01:29.76]  opportunity to take initiative what am I
[01:32.28]  missing why are we not growing faster
[01:34.52]  5x9x10x we've never seen growth rates
[01:36.78]  like this if you can keep that momentum
[01:39.30]  going longer and fix that mistake
[01:41.16]  earlier you have huge benefits that's
[01:43.56]  the magic of saster
[01:44.54]  [Music]
[01:49.56]  laughs
