Title     : SaaStr Annual 2026: We're On the Journey Together!  May 12-14 in SF Bay Area!!
Video ID  : NGQubSekhUg
URL       : https://www.youtube.com/watch?v=NGQubSekhUg
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 51
Saved at  : 2026-06-20 23:17:17
------------------------------------------------------------

[00:00.66]  foreign
[00:02.12]  hits the road is when things don't go as
[00:05.52]  planned and you have to figure it out
[00:07.56]  most of the time it's not what you
[00:09.00]  thought it was going to be
[00:10.56]  it's those hard moments when you do want
[00:13.26]  to throw in the towel where you make the
[00:15.36]  decision to go forward and that is a
[00:18.00]  step toward your success
[00:19.74]  I think every leader goes through that
[00:21.42]  whether they're willing to say it or not
[00:23.16]  the startup journey is really tough and
[00:25.26]  you need grit to survive all the crazy
[00:27.60]  ups and downs things go well and things
[00:29.82]  go poorly and things go well and there
[00:31.86]  have been so many failures all along the
[00:34.32]  way but they all just become inputs to
[00:36.54]  the right decisions
[00:38.46]  people think their happiness is around
[00:39.96]  the corner when they achieve a certain
[00:41.58]  outcome but if you do achieve that you
[00:43.86]  will just set a new goal for yourself
[00:45.18]  that's an even harder goal don't make
[00:47.22]  the mistake of working on something
[00:48.18]  you're not super passionate about when
[00:50.28]  you understand what your purpose is and
[00:52.20]  you understand what brings you Joy there
[00:54.78]  is no Finish Line
[00:56.64]  what am I missing why are we not growing
[00:58.80]  faster the danger is I'm never satisfied
[01:02.10]  you get there and you realize like
[01:03.96]  there's so much more to go how do I keep
[01:06.42]  growing how do they get bigger better
[01:08.46]  faster stronger I want to do it all I
[01:12.18]  can't to do it all
[01:14.22]  being an ally is not always like marches
[01:17.22]  and Banners a lot of time it's
[01:19.56]  disagreeing and standing up for what you
[01:21.54]  believe in no matter what everyone else
[01:22.86]  says that's hard it takes a lot of
[01:26.04]  Courage it takes a lot of grit
[01:29.34]  the toughness about that Journey was
[01:31.08]  just sticking to it
[01:37.50]  but don't wait to see how the Market's
[01:39.54]  gonna change right the world's changing
[01:41.16]  fast and so if you're not constantly
[01:42.90]  thinking about the nuances of the market
[01:46.02]  you're serving and how their needs are
[01:48.00]  changing you're going to be left behind
[01:50.15]  [Music]
[01:51.84]  foreign
