Title     : SaaStr Europa Comes to Barcelona!!  7-8 June!!
Video ID  : PaR-JdbnH6Y
URL       : https://www.youtube.com/watch?v=PaR-JdbnH6Y
Language  : Portuguese (auto-generated) (pt)
Generated : Yes (auto-generated)
Snippets  : 14
Saved at  : 2026-06-20 23:24:25
------------------------------------------------------------

[00:00.02]  Ah
[00:00.13]  [Música]
[00:04.87]  tá bom
[00:08.56]  [Música]
[00:26.47]  [Música]
[00:32.68]  ué clique em
[00:38.83]  [Música]
[00:58.16]  [Música]
[01:00.03]  E aí
[01:05.23]  [Música]
[01:10.44]  [Música]
[01:19.77]  [Música]
[01:43.19]  [Música]
[01:54.04]  [Música]
