Title     : SaaStr Through The Years | Get Excited for SaaStr Annual 2025!!  May 13-15!
Video ID  : QbepQ4nHMjo
URL       : https://www.youtube.com/watch?v=QbepQ4nHMjo
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 79
Saved at  : 2026-06-20 23:35:21
------------------------------------------------------------

[00:02.08]  i am jason lemkin
[00:03.44]  i'm the facilitator behind the sasser
[00:05.44]  community um
[00:06.64]  and i'm very grateful to everyone that
[00:08.32]  has come this year and
[00:09.68]  been part of this sort of first
[00:10.96]  inaugural saster annual which is great
[00:16.96]  in retrospect this event kind of seems
[00:18.48]  like a no-brainer
[00:21.92]  the world of sas is unique but there's
[00:24.24]  some common threads
[00:25.84]  why we create the wheel if someone
[00:27.44]  already has success why not learn from
[00:29.60]  them to share best practices
[00:31.28]  i think that's so unique is the amount
[00:32.56]  of collaboration that goes on we're all
[00:34.16]  in this fun struggle to kind of push
[00:35.76]  this boulder up the hill
[00:36.96]  and have people that have already pushed
[00:38.08]  it up the hill helping you that's the
[00:40.00]  whole point of this
[00:44.24]  you connect with people it has to be
[00:46.00]  authentic sas entrepreneurs just have a
[00:48.00]  huge hunger
[00:49.04]  for learning you know they have huge
[00:50.40]  hunger for education for networking
[00:52.88]  and saster is really pulling the sas
[00:54.64]  community together in a powerful way
[00:56.56]  the ability to connect with people is
[00:59.28]  invaluable
[01:00.00]  and that is about the future
[01:03.20]  going through founding a company is
[01:04.56]  probably the most effective way to learn
[01:06.56]  about yourself
[01:07.36]  be patient you don't need to be in a
[01:08.96]  rush to make your company
[01:10.72]  like huge and hire a bunch of people
[01:12.32]  right away build a great product but
[01:13.52]  don't stop there
[01:14.48]  build a great organization because it's
[01:16.32]  the sas companies that succeed not sas
[01:18.08]  products
[01:18.72]  don't listen to all the naysayers and
[01:20.08]  the debbie downers and the negative
[01:21.28]  folks just stay focused on what works
[01:23.23]  [Music]
[01:25.12]  that if you can get a cohort of people
[01:27.52]  experiencing and going through the same
[01:28.96]  problem and put them together
[01:30.24]  so they can actually talk amongst each
[01:31.68]  other as they're learning things
[01:33.44]  that's really powerful if i was in the
[01:35.60]  audience i'd be stealing pieces from
[01:37.68]  everyone
[01:38.48]  the community is at the core of defining
[01:41.12]  not only who you are as a business but
[01:43.28]  who you could be
[01:46.80]  it's never been a better time to be a
[01:49.04]  software developer
[01:50.24]  because you can literally change the
[01:52.00]  world with a text editor being done
[01:56.40]  now is maybe the best of times and it's
[01:58.40]  a 10 in sas
[01:59.60]  if you didn't come you missed something
[02:01.28]  if you did come you know that you have
[02:02.40]  to come again
[02:03.28]  no question when coming here every year
[02:07.20]  if i can find other people that i can
[02:08.80]  share these stories with and they can
[02:10.08]  give me some advice
[02:11.28]  that's incredible building saster has
[02:13.52]  been an order of magnitude harder
[02:15.68]  than i ever anticipated
[02:19.20]  i think all founders go through these
[02:22.00]  same
[02:22.48]  set of journeys the fact that we all
[02:24.00]  almost failed that we almost went
[02:25.44]  bankrupt multiple times
[02:26.88]  it's hard
