Title     : SaaStr Watch Party!  Veeva:  The Biggest SaaS Vertical Success of All Time
Video ID  : WGaiMiOi_3Y
URL       : https://www.youtube.com/watch?v=WGaiMiOi_3Y
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1032
Saved at  : 2026-06-20 23:48:09
------------------------------------------------------------

[00:00.03]  all right let's welcome Peter Gastner
[00:01.77]  from Viva system super cool Peter thanks
[00:04.98]  for coming this is great thank you so I
[00:08.46]  appreciate you coming I know you're not
[00:10.14]  on the traditional speaking tour are you
[00:11.82]  know I miss the crunchies this year
[00:13.77]  go you know I don't I might not even
[00:15.90]  know what that is so this is a great
[00:19.13]  it's a great cotton I mean Twilio is one
[00:21.54]  of our most like iconoclast IPOs and
[00:23.37]  vivaz just it's my favorite success
[00:26.10]  story so it's fun fun to share it here
[00:27.87]  so let me let me hit a couple highlights
[00:32.28]  on vevo or actually give us 60 seconds
[00:34.08]  on even then I'll add a couple other
[00:35.19]  highlights for folks that are in here
[00:36.24]  tell us your version of the history
[00:38.07]  history so basics ten years old about
[00:41.87]  1,700 people we're building the industry
[00:44.73]  cloud for Life Sciences so our customers
[00:47.01]  are people like Pfizer and Novartis etc
[00:49.50]  that are making medicine to to help
[00:51.78]  prove life and we provide a variety of
[00:54.81]  cloud solutions for them so in a
[00:56.73]  nutshell what we say is we're building
[00:59.01]  the industry cloud for Life Sciences so
[01:01.47]  we want to be essential and appreciated
[01:04.71]  to every CEO in the life sciences
[01:06.87]  industry and help them be more efficient
[01:08.70]  and effective because what they're
[01:10.23]  trying to do is bring better medicine to
[01:12.87]  people and we want to help them do that
[01:14.40]  yeah it's pretty cool so we'll get into
[01:16.59]  that so ten years old just about now
[01:18.36]  we'll come back to that about a six
[01:20.43]  hundred million dollar run rate at this
[01:21.78]  point yeah it's pretty pretty impressive
[01:23.52]  what do you guys think it's pretty cool
[01:27.50]  and and started off primarily as
[01:34.05]  pharmacy RM right and now we've got a
[01:36.33]  couple different products which will
[01:37.35]  shout about in a minute and what's the
[01:38.61]  suite like today well we have a suite of
[01:41.34]  products so started off in pharmacy
[01:43.29]  around ten years ago really focusing in
[01:45.78]  there build this CRM product on
[01:47.58]  Salesforce calm about 2010 we started a
[01:51.09]  completely different product line this
[01:53.13]  we've evolved around content management
[01:55.14]  that makes up about a 35% of our revenue
[01:57.96]  now and then we have some newer products
[02:00.15]  some of our newest products are actually
[02:01.65]  in the data area where we're generating
[02:03.60]  unique data that the youth life sciences
[02:05.94]  industry needs so we're real multi
[02:08.58]  product line company now we didn't start
[02:11.58]  that way but that
[02:12.36]  where we are okay I want to hit that in
[02:14.10]  a minute because we we just talked with
[02:15.63]  Geoff Lawson about his thoughts and you
[02:16.92]  and I chat about those before but but
[02:20.34]  let's go back for a minute so the early
[02:22.62]  days so your background you were early
[02:24.78]  too just about everything right you were
[02:25.95]  early at Siebel you were VP of
[02:27.60]  Technology at Salesforce back in the day
[02:29.25]  yeah yeah back in the with the with the
[02:32.22]  og right and then you came up with a
[02:35.16]  crazy idea to start Viva like in 2007
[02:38.33]  like just before those worst two years
[02:41.16]  that we've experienced in the industry
[02:43.08]  right oh I don't know nine so we talked
[02:46.05]  before tell us a little bit what what
[02:47.73]  gave you the bug to start Viva what's
[02:49.26]  the what's the background story for the
[02:50.88]  company well I think you know part of is
[02:53.31]  just how I was born I never liked to
[02:55.74]  follow the herd that probably frustrated
[02:58.41]  my parents at times about that I mean I
[03:02.46]  never liked to follow the herd I
[03:03.93]  remember coming back in in first grade
[03:06.21]  and telling my parents I don't want to
[03:08.07]  learn how to read I don't think I need
[03:10.83]  to and literally and my mom bless her
[03:14.76]  heart she said what do you think she
[03:17.46]  said so that's fine you know I never met
[03:21.15]  a 18 year old who didn't know how to
[03:22.62]  read so I'm sure you'll get there yeah
[03:25.47]  she knew I was hard-headed so what I
[03:27.87]  figured what what tip did for me is I
[03:29.94]  realized man I can't read the road signs
[03:32.28]  and I want to know where we're going
[03:34.20]  okay I better learn how to read so I've
[03:36.15]  never followed the herd so that's one
[03:38.07]  thing it's just I think you're born with
[03:39.81]  it but the other thing is I've studied
[03:41.58]  enterprise software for literally 30
[03:43.59]  years I was an intern at IBM mainframe
[03:46.74]  software when I was 20 years old now
[03:49.08]  it's 30 years ago so if you take this
[03:51.27]  ability to not follow the herd yeah and
[03:54.27]  the experience you can spot trends
[03:56.55]  because when you think about it when a
[03:57.93]  trend is early everybody thinks you're
[04:00.72]  wrong that's the definition of being
[04:02.70]  early so I have this knack of doing that
[04:06.81]  I'll give a little example of Viva I'd
[04:09.81]  always done you know general software
[04:12.36]  things database software on mainframes
[04:14.24]  PeopleSoft run that technology group
[04:16.83]  salesforce.com platform for everybody
[04:18.96]  and then 2007 I had this idea I'm gonna
[04:21.81]  make something very specific to an
[04:23.79]  industry very specific doing
[04:25.66]  mystery in the cloud and I remember
[04:27.76]  sitting down with his friend he actually
[04:29.23]  draw on a napkin paper napkin
[04:31.15]  look here's enterprise software okay now
[04:34.54]  here's life sciences that's a very small
[04:36.49]  wedge and here's Pharma serum that's
[04:38.83]  like a pinprick you know what are you
[04:41.20]  doing you've got so much potential and
[04:43.27]  that's when I knew hey I'm on to
[04:45.04]  something I think it could be good
[04:47.38]  most people think it's dumb that's a
[04:51.28]  very encouraging thought so I would say
[04:53.44]  to the entrepreneurs recognize that when
[04:55.45]  you get that thing where you're a
[04:56.71]  rational person and you think it'll be
[04:58.78]  great and you know ninety-nine out of a
[05:02.05]  hundred people think it's bad that's
[05:03.85]  when you have opportunity don't get
[05:05.62]  discouraged yeah
[05:07.39]  so that's I've always done that I mean
[05:09.43]  even Salesforce calm the early days when
[05:11.53]  did you join Salesforce 2002 I guess all
[05:14.56]  right yeah another terrible time to be
[05:16.45]  in technology yeah 2002 and most people
[05:20.77]  thought that cloud thing would never be
[05:22.36]  big and I always remember people asking
[05:24.46]  me they would start to learn about it
[05:25.87]  and then at some point they would say I
[05:27.73]  get it I get it
[05:28.72]  who are you trying to be like that's
[05:31.48]  like oh no you don't get it not trying
[05:33.52]  to be like anybody that's the whole
[05:35.62]  point yeah so I think it's that
[05:38.05]  experience and a willingness to not
[05:40.15]  follow the herd so and then we chatted
[05:42.19]  about this before on the phone so you
[05:43.36]  start you leave you see you see this
[05:45.28]  white space it seems small in the
[05:46.51]  beginning but you know it's there and
[05:47.53]  how did you know you wanted to be a CEO
[05:49.20]  well I I didn't actually I specifically
[05:53.38]  didn't want to be a CEO so that's that's
[05:56.47]  the real story there I'd retired a
[05:58.75]  little bit after salesforce.com and I
[06:00.79]  didn't want to be a CEO I was software
[06:02.98]  developer or product person I thought
[06:04.57]  that's the most creative thing to do so
[06:06.67]  that's what I wanted to do happen to be
[06:10.27]  I ran into some folks who wanted to fund
[06:12.07]  me and I thought well that's kind of
[06:14.14]  good so I can be like the head of
[06:15.73]  products and the CEO and if it you know
[06:17.83]  most startups fail so I don't have to
[06:19.63]  worry about it but pressure was off yeah
[06:22.57]  I mean but it doesn't I should remember
[06:24.58]  six months is yeah I always thought hey
[06:26.62]  if it doesn't fail then we'll get a CEO
[06:29.68]  so that was my plan and then you know
[06:33.94]  didn't work out that way we happened
[06:35.68]  because actually it's the truth most
[06:37.45]  startups do Flair
[06:38.98]  you know if most restaurants that start
[06:41.53]  up feel most technology companies that's
[06:43.69]  the odds otherwise you're not being
[06:45.31]  aggressive enough right you can open a
[06:47.77]  hamburger stand you know it's not gonna
[06:49.18]  fail but you know you're not gonna make
[06:50.80]  a lot of money so you're you're most
