Title     : The #1 Thing You Need To Do Better:  Customer Marketing
Video ID  : aCAX-X3rZNE
URL       : https://www.youtube.com/watch?v=aCAX-X3rZNE
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 47
Saved at  : 2026-06-21 00:24:19
------------------------------------------------------------

[00:00.00]  I think one of the next frontiers and
[00:01.77]  SAS that we all need to get better at is
[00:03.66]  customer marketing and what is customer
[00:05.79]  marketing because you don't see that
[00:07.35]  much about it
[00:08.13]  on these Internet's it's all the
[00:10.56]  marketing you do to your customers after
[00:12.87]  you acquire them and think about our SAS
[00:14.97]  customer journey it's five to ten years
[00:17.22]  after those few months it takes us to
[00:19.71]  close it we put so much energy into
[00:21.33]  sales and our sales team and so much
[00:23.79]  energy into demand gen and funnel
[00:25.56]  management and intercom beam and hub
[00:27.36]  spotting and then we close them and then
[00:29.37]  what happens marketing goes away but
[00:31.77]  that's wrong we have a customer success
[00:34.17]  team and we've gotten better at customer
[00:35.94]  success and we've learned to spend five
[00:38.16]  to ten percent of our ACB's on retaining
[00:41.61]  customers but what about marketing to
[00:43.14]  them how much of your budget do you
[00:44.70]  spend on drip marketing to your existing
[00:47.43]  customers on webinars for existing
[00:49.38]  customers on customer conferences for
[00:51.15]  your existing customers not to get new
[00:53.52]  leads how much of your marketing
[00:55.53]  department headcount is focused on
[00:57.30]  customer marketing the answer is usually
[00:59.70]  not enough and I don't know and no
[01:02.52]  quantitative goals so that should change
[01:05.52]  and think about this idea what if you
[01:07.86]  spent 10 percent of your revenue of your
[01:11.04]  revenue under management on customer
[01:13.41]  marketing that might have to come from
[01:14.73]  somewhere else it's a lot of money but
[01:17.13]  if you did that think about how much
[01:18.90]  many more seats you might close how much
[01:21.30]  better your upsell might be how much
[01:23.52]  better your referral and advocate
[01:25.29]  networks might be there are nascent
[01:27.03]  products like influitive and others that
[01:28.74]  help you manage your advocate networks
[01:31.53]  but who's doing this strategically who's
[01:33.42]  got budget and core KPIs not enough of
[01:35.61]  us so I think customer marketing is our
[01:38.04]  next frontier after customer success
