Title     : The CEO's Role in Marketing  How to Hustle, Build Momentum, Sell Your Company   and Yourself
Video ID  : 5ycj_bAace8
URL       : https://www.youtube.com/watch?v=5ycj_bAace8
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 942
Saved at  : 2026-06-21 00:31:53
------------------------------------------------------------

[00:00.04]  please welcome Stacy Epstein CEO of zinc
[00:03.40]  previously Chief marketing officer at
[00:05.08]  service Max and vice president of Global
[00:07.28]  Communications at success
[00:13.00]  factors thank
[00:15.08]  you hello everybody I've been really
[00:18.52]  excited about this session today because
[00:20.76]  I get to speak about a topic that's
[00:23.24]  really close to my heart and important
[00:25.16]  to me and that's marketing and I'm going
[00:27.24]  to try to convince you guys that it
[00:29.00]  should be close to your heart and
[00:30.64]  important to you too so uh before we
[00:33.32]  move forward let me bring out my
[00:36.52]  panel come on out
[00:38.76]  panel we have Katherine mshu from The
[00:42.32]  Muse and Greg shot from moft and Dave
[00:46.12]  Kellogg from post
[00:47.96]  analytics hello
[00:52.64]  panel so um I told them in instead of me
[00:56.48]  trying to remember all of the great
[00:58.84]  things about their background I'm going
[01:00.24]  to have them introduce themselves to you
[01:02.72]  but I want you guys to focus a little
[01:04.44]  bit on marketing each of you has a
[01:06.40]  little bit of marketing in your
[01:07.52]  background so tell us about yourself
[01:10.52]  okay I'll go first uh so my name is Dave
[01:13.44]  Kellogg um I'm excited about the panel
[01:16.12]  because I have 10 years on both sides of
[01:18.12]  the marketing line so I've been a CEO
[01:20.28]  for 10 years um six years at Mark logic
[01:23.20]  a Enterprise nosql company now four
[01:25.60]  years at Host analytics a uh Enterprise
[01:28.36]  Performance Management financial apps
[01:29.76]  company company um so I've been 10 years
[01:31.60]  as CEO looking at marketing from this
[01:33.28]  side and prior to that I was 9 years of
[01:36.16]  Chief marketing officer of business
[01:37.68]  objects as we grew the company from 30
[01:39.68]  million to a billion in Revenue so I
[01:41.64]  like to think I can see both sides of
[01:42.80]  the issue here great a yeah I'm
[01:46.08]  Katherine mchu founder and CEO of the
[01:48.68]  Muse and uh I came to starting my
[01:52.48]  company with very little marketing
[01:54.52]  background initially but uh sort of dove
[01:57.16]  in uh face first as it were I'd say I
[02:00.08]  feel like I learned a lot of things the
[02:01.40]  hard way we now have over 50 million
[02:04.04]  people every year who use the Muse most
[02:06.24]  of it is organic traffic so um have
[02:08.52]  spent a lot of time figuring out uh PR
[02:11.48]  content marketing various forms of uh
[02:15.20]  guerilla marketing to help build the
[02:16.88]  early stage and then now I've got a
[02:18.40]  great marketing team that takes the lead
[02:20.96]  great thank you Greg uh I'm Greg shot
[02:23.88]  I'm the CEO of moft and uh I was a
[02:27.16]  marketing VP CMO three different times
[02:30.68]  beforehand three startups a couple of
[02:32.76]  them went through IPO and so I had quite
[02:35.32]  a bit of marketing background coming in
[02:36.72]  and then I've been CEO at moft now for
[02:39.28]  eight years um my my my my current vpa
[02:44.88]  marketing has been amazing so it's been
[02:46.40]  a great ride working together with him
[02:47.96]  but I've got a lot of marketing
[02:49.00]  background before this great thanks so
[02:52.28]  um you guys heard I'm now a CEO and you
[02:54.32]  notice the panel is full of CEOs um I
[02:57.24]  feel like every week I get a CEO CEO
[03:00.24]  sent to me from one of our investors or
[03:02.76]  someone that I meet that says I want to
[03:05.08]  talk about marketing it's this black box
[03:07.80]  I don't understand it I don't really
[03:09.60]  even know if I should do it and if I
[03:11.56]  should do it how do I go about it and is
[03:13.88]  it really that important um and then I
[03:16.52]  was in the audience earlier and I heard
[03:18.32]  the Trello founder talking about how in
[03:20.64]  the early days they they really just
[03:22.52]  didn't have that marketing muscle and
[03:24.84]  they didn't really know to focus on it
[03:26.92]  and yet they were still really pretty
[03:28.72]  successful as we saw their big
[03:30.48]  acquisition news so my question to the
[03:32.84]  panel and I'll let you guys decide who
[03:34.64]  wants to go first is is it really that
[03:37.16]  important as a startup as you're growing
[03:39.84]  should you really double down and focus
[03:42.00]  on marketing or can you get away without
[03:45.40]  it uh I'm happy to kick it off I think
[03:48.16]  marketing has been uh I would say
[03:51.56]  critical to Our Success I do think it
[03:53.76]  depends on the type of company that you
[03:56.48]  have for us we built the Muse to be a
[03:58.40]  Marketplace and so we needed to have
[04:00.64]  that critical mass of users and um you
[04:04.20]  know there's a lot of companies uh we
[04:06.08]  did Y combinator and a lot of companies
[04:08.08]  in our batch you know they'd put their
[04:10.08]  uh they launch on Tech crunch or on
[04:11.36]  Hacker News and say okay good I'm done I
[04:13.60]  finished and uh we found that that was a
[04:16.16]  a pretty limiting way to think about
[04:18.76]  marketing especially early stage because
[04:20.64]  you only get people who are at that one
[04:22.96]  in part of that one community so we we
[04:25.52]  used content really effectively in the
[04:27.16]  early days to um essentially get get the
[04:29.96]  message out about what we were doing so
[04:31.40]  in our case because we have a job search
[04:32.92]  and career platform we found that
[04:35.20]  publishing great career content both on
[04:37.04]  our site but also through syndicated
[04:38.56]  Partners was a really effective way to
[04:40.16]  build that early math and um we actually
[04:42.48]  had 20,000 people use the Muse the first
[04:44.96]  month that we launched 266,000 the 2nd
[04:47.60]  70,000 the third um and we've been Off
[04:49.72]  to the Races ever since and you think
[04:51.16]  that was largely because of marketing I
[04:53.68]  do and and I think it was for us uh not
[04:56.00]  thinking about marketing as um you know
[04:58.60]  an appendage or something that sits
[05:00.56]  outside of the core but saying for us to
[05:03.56]  have a product that resonates we need to
[05:06.40]  have a diverse set of people use it and
[05:08.16]  we needed those people to find it in the
[05:10.72]  most organic and authentic ways possible
[05:12.52]  and so we built some of the concepts of
[05:14.72]  marketing into uh the company and the
[05:17.28]  product itself from day one great yeah I
[05:20.40]  would just say I think about marketing
[05:22.32]  as being uh about as critical as it gets
[05:24.36]  and I think if you go into a company
[05:25.88]  where they're not thinking about
[05:27.28]  marketing as being important maybe
[05:28.60]  marketing as a function
[05:30.48]  uh they might may not be thinking that
[05:31.80]  way but somebody is in a successful
[05:33.60]  company somebody is doing the marketing
[05:35.84]  and by that I mean they're doing the
[05:37.24]  positioning they're figuring out the
[05:38.76]  product Market fit um and so when I
[05:41.40]  think about the organization of a
[05:42.64]  company I think of kind of three main
[05:44.84]  pillars uh one being the product
[05:46.88]  leadership one being the marketing
[05:48.56]  leadership and the other being the field
[05:50.20]  and sales leadership and everybody else
[05:52.84]  the CEO the finance uh recruiting HR
[05:56.48]  everybody else is really in support of
[05:58.68]  those those three three functions um I I
[06:01.76]  think about you know if you think about
