Title     : The Future of Events:  Jason Lemkin, CEO SaaStr + Ben Hindman , CEO Splash
Video ID  : Wtj3S9_gfgY
URL       : https://www.youtube.com/watch?v=Wtj3S9_gfgY
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 317
Saved at  : 2026-06-20 23:40:54
------------------------------------------------------------

[00:00.16]  if you're a field marketer speccing out
[00:01.92]  your sponsorship spend
[00:03.36]  well hold on to your scanners and pop
[00:05.60]  your banners because this conversation
[00:07.20]  with jason lemkin got a little sassy
[00:09.84]  to the cloud
[00:18.72]  welcome to boom a show about the
[00:20.48]  innovation explosion
[00:22.08]  in events and the tech stack i'm ben i'm
[00:24.72]  the co-founder and ceo of splash
[00:26.80]  splash is an event marketing software
[00:28.48]  for your live virtual
[00:30.00]  and hybrid events today i'm talking to
[00:32.80]  jason lemkin he's the ceo of
[00:34.80]  saster he's an investor an entrepreneur
[00:37.52]  and an event planner
[00:38.88]  that's a rare combination the guy has a
[00:41.04]  unique and sharp perspective on
[00:42.72]  everything tech
[00:43.76]  and everything events saster annual has
[00:46.96]  been
[00:47.44]  the conference at the center of the
[00:49.36]  cloud revolution
[00:50.88]  saster was started in 2012 as a blog
[00:54.16]  they hosted their first conference in
[00:55.60]  2015 and now they claim the world's
[00:58.32]  largest community of sas
[01:00.00]  executives founders and entrepreneurs
[01:03.20]  saster was one of the first conferences
[01:04.96]  to cancel due to the pandemic but has
[01:07.20]  bounced back with a fully online
[01:09.76]  conference this december
[01:11.20]  which is set to welcome 50 000 attendees
[01:14.96]  i had a conversation with jason lemkin
[01:16.80]  and i pulled some of the highlights of
[01:18.32]  the conversation here
[01:19.76]  i think you're gonna love it we talk
[01:21.12]  about things from a perpendicular event
[01:23.92]  all the way to what is next in the
[01:25.76]  collaboration suite
[01:27.28]  let's get into the conversation jason
[01:29.44]  great to see you
[01:30.32]  thanks for joining us on boom okay first
[01:32.72]  question
[01:33.68]  as you look towards the future how do
[01:35.60]  you expect digital events will continue
[01:37.68]  to evolve
[01:39.60]  i don't think saster or dreamforce
[01:43.12]  or any of these things are going to be
[01:44.88]  replaced on its own by digital okay and
[01:46.88]  we can talk about why
[01:48.16]  but what has happened as the tools have
[01:50.24]  been brought forward a decade
[01:52.16]  is you can have user conferences you can
[01:54.00]  have customer conferences you can have
[01:55.60]  prospect conferences on the internet
[01:57.76]  that you wouldn't you couldn't have in
[01:59.36]  the real world it's too expensive it's
[02:00.72]  too complicated
[02:01.84]  i think the big events will have
[02:04.88]  a much better digital component than
[02:06.72]  they ever did it will be on steroids
[02:08.40]  okay and that will be all fired through
[02:10.08]  software right um a few folks like web
[02:12.48]  summit will build their own and everyone
[02:13.92]  else will buy
[02:14.64]  okay much more functionality not live
[02:17.04]  streaming
[02:17.76]  an order of magnitude more functionality
[02:19.28]  for the big events and then
[02:21.36]  digital only events will not replace
[02:24.56]  irl events like they have since covid
[02:26.72]  they will be better they will be richer
[02:28.48]  they will connect more people they will
[02:30.00]  have
[02:30.32]  more content more interactions the truly
[02:32.72]  great digital events were worth it
[02:34.32]  right and so everyone's going to try to
[02:36.32]  do that right and you're going to need
[02:38.24]  tools and software because the crappy
[02:40.64]  stuff we had before march none of it did
[02:42.24]  it
[02:42.72]  right none of it did it okay next
[02:44.80]  question as you look post pandemic
[02:47.20]  what's your expectation for how event
[02:49.28]  formats or event planners will need to
[02:51.44]  evolve
[02:53.44]  they will have perpendicular events
[02:56.48]  going forward
[02:57.36]  so they will not have a hybrid event
[02:59.44]  which is
[03:00.56]  live streaming like that didn't work no
[03:02.40]  one tuned in the engagement sucked
[03:04.00]  right instead you will have a
[03:06.64]  perpendicular product
[03:08.08]  where it's not live streaming it's the
[03:10.96]  rest of your community
[03:12.40]  it's the other of the 15 000 people that
[03:15.20]  can attend faster we want to have 100
[03:17.20]  truly a hundred thousand to ten
[03:18.64]  digitally next year and it won't be the
[03:20.80]  same
[03:21.20]  they're not going to get to bump into
[03:22.72]  people in the hallways are they they're
[03:24.16]  not gonna have the same experience with
[03:26.40]  with the round tables and the meetups
[03:28.16]  and the jobs board
[03:29.76]  and the parties and the the meet zendesk
[03:32.88]  in person
[03:33.60]  and they're not going to have that and
[03:34.80]  that's okay but they'll have a different
[03:36.72]  experience that will also be rich that's
[03:38.96]  why it's not hybrid to me it's this
[03:40.64]  perpendicular experience where we it's
[03:42.16]  more work now next year
[03:43.76]  there'll be more work because you will
[03:45.84]  have to have this horizontal
[03:47.12]  perpendicular content for the rest of
[03:48.56]  your community
[03:49.44]  and the only way you'll be able to keep
[03:50.96]  up is with tools with software
[03:52.80]  so i'm curious as this is a show for
[03:55.68]  event marketers
[03:56.88]  have you seen any new trends or
[03:59.12]  evolutions in the event tech stack that
[04:00.88]  are worth noting
[04:02.08]  workplace collaboration internal is big
[04:04.56]  but external is really big too right
[04:06.00]  external collaboration is
[04:07.20]  a huge part of it and the fact that that
[04:10.40]  would
[04:10.80]  meld with event software was something
[04:12.32]  no one you know predicted before covet
[04:15.28]  open up open up your your your your
[04:17.68]  gmail especially even on your phone if
[04:19.12]  you're on an android device like me you
[04:20.32]  know what's there google me
[04:22.32]  right um zoom is getting into events
[04:25.04]  right
[04:25.68]  and why is zoom get into events because
[04:27.36]  it wants to do session registration and
[04:29.68]  it
[04:30.11]  [Laughter]
[04:31.76]  no it's because digital events crossed
[04:34.00]  over into collaboration software
[04:36.08]  right that's why microsoft teams has
[04:38.00]  limited events capability now right
[04:40.08]  because we never thought of event
[04:41.60]  software as collaboration software
[04:43.36]  before covid
[04:44.72]  right that's what's powerful and that's
[04:47.28]  there will be m
[04:48.00]  a there there will be big m a there um
[04:50.64]  there will be activity there i don't
[04:52.00]  know whether that really drove blue
[04:53.20]  jeans or whether that was an
[04:54.24]  opportunistic
[04:55.20]  attempt to compete with zoom without
[04:56.56]  doing the work but we would have never
[04:58.56]  thought of event software as collaborate
[05:00.00]  maybe you did but very few of us would
[05:01.52]  have thought of as collaboration
[05:02.48]  software before
[05:03.28]  right okay next question jason as you
[05:06.72]  have looked at the sponsorship game
[05:08.96]  evolve in a digital first world
[05:11.36]  what have you learned any strategies you
[05:12.96]  can share with us i did not know this
[05:14.56]  until
[05:15.04]  march of this year i've been doing
[05:16.32]  strangle for since 2015. i didn't i did
[05:19.52]  not know until march of this year why
[05:20.88]  sponsors sponsor
[05:22.16]  in cloud 40 of leads come from
[05:25.76]  40 everyone gripes every field marketer
[05:28.40]  gripes about every event
[05:29.60]  from dream forest on down they gripe
[05:31.04]  about everything but they need to deploy
[05:33.52]  the capital because it works
[05:34.96]  it works does it work perfectly does it
[05:36.72]  work as elegantly as
[05:38.40]  as a google adwords no but people go
[05:41.84]  buyers go to events buyer goes to events
[05:44.08]  to learn
[05:45.04]  and buyers go to events to talk to
[05:47.12]  someone they've only talked to or resume
