Title     : The Office is Back!!  But What Will It Be Like?  Jason Lemkin & Justin Bedecarre of Raise.Work
Video ID  : 0MnlhVXUo3Q
URL       : https://www.youtube.com/watch?v=0MnlhVXUo3Q
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1272
Saved at  : 2026-06-20 23:25:06
------------------------------------------------------------

[00:01.28]  hey everyone it's sasha uh we are back
[00:03.76]  with some good friends justin betticare
[00:05.84]  from the ceo of reyes and jamie catcher
[00:08.08]  who runs their new york office to talk
[00:10.24]  again about the office of the future and
[00:12.56]  i've known
[00:13.52]  justin since the very beginning of
[00:15.28]  saster we used to have a great
[00:16.32]  co-working space he found us a
[00:17.76]  co-working space i i invested in this
[00:20.32]  company after he did and raise is very
[00:23.04]  interesting it is a hybrid technology
[00:25.28]  and brokerage
[00:26.56]  for commercial real estate for some of
[00:28.48]  the best for some of the best for the
[00:30.32]  notion um
[00:31.92]  uh and and many of the better top
[00:33.60]  leaders why combinator give me a few
[00:35.12]  other great fun brands justin throw a
[00:36.56]  few in
[00:37.76]  oh my gosh envoy
[00:40.40]  air table i've heard of that one that's
[00:41.84]  a good one like many of the best most
[00:43.52]  iconic tech companies
[00:45.44]  you know palantir talent here i've heard
[00:47.60]  of that one have you used especially and
[00:49.52]  what we're going to talk about is the
[00:50.48]  new world they have both pre and post
[00:52.96]  all of this
[00:54.08]  use rays to
[00:55.52]  previously find but now design and
[00:57.44]  manage these hybrid offices and
[01:00.24]  now that we're coming to the end of this
[01:02.48]  um at least the end of this version
[01:04.56]  we're all rethinking the office and
[01:06.32]  personally i even think this idea and
[01:08.16]  we'll debate this now for a minute i
[01:09.92]  think the hybrid office even is a dead
[01:11.92]  idea now we're all distributed teams
[01:13.76]  going to the office like in many cases
[01:15.52]  going to the office even little team
[01:17.04]  disaster we went from one to two offices
[01:19.36]  now we have sf and palo alto more
[01:21.60]  startups i talked to
[01:23.12]  have radically changed what a
[01:24.72]  headquarters is but actually have more
[01:26.72]  offices and more needs to meet up in
[01:29.20]  different fashions um than they did
[01:32.64]  before all of this and um
[01:35.36]  you know raise was on an incredible tear
[01:36.88]  with the best tech names we had we had a
[01:38.56]  few hits when in in 2020 but now our
[01:41.92]  back stronger and stronger and expanding
[01:43.52]  across the country right and and and and
[01:46.24]  jimmy and justin have worked together at
[01:47.84]  least informally in the past it is now
[01:49.28]  is joined to run new york so i want to
[01:51.12]  use this for a couple things but to to
[01:53.60]  peer behind the scenes with different
[01:55.76]  tech centers with new york uh with san
[01:58.32]  francisco maybe with austin miami and
[02:00.16]  others from these guys and also they
[02:03.28]  have data everyone on twitter i think
[02:05.84]  talks out of their rear on this um they
[02:08.16]  talk about how beautiful the park is in
[02:10.00]  san francisco on the two nice days they
[02:12.24]  talk about crime they talk about how
[02:13.92]  great miami is they talk about how miami
[02:15.68]  is all dudes and and retirees like i
[02:18.24]  just can't the twitter is not helpful to
[02:20.56]  the to this debate am i you guys agree
[02:22.96]  yes
[02:25.28]  okay so first let's slow down let's talk
[02:27.36]  about geographies the first one because
[02:29.76]  i it's probably the only thing that just
[02:31.28]  and i have slightly in in good sense
[02:33.52]  disagreed with over the last 24 months
[02:35.28]  is soma
[02:36.64]  and uh i walk the bay area i think is
[02:39.60]  great i mean we have a little office in
[02:40.80]  palo alto you have one too and it's so
[02:43.28]  fun and dynamic and i think it's better
[02:44.88]  than when i was running echo sign adobe
[02:46.64]  sign there but
[02:48.32]  i remember that office that you guys
[02:49.68]  were in it was cool but it was
[02:51.52]  tumbleweeds in soma black just
