Title     : The State of the Cloud: 2021 with Bessemer Venture Partners  | SaaStr Software Community
Video ID  : XUub-9AGvPA
URL       : https://www.youtube.com/watch?v=XUub-9AGvPA
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1531
Saved at  : 2026-06-20 23:36:22
------------------------------------------------------------

[00:06.40]  last year there were seven cloud ipos in
[00:08.40]  total
[00:09.12]  bessemer was an investor in four of them
[00:11.56]  [Applause]
[00:12.88]  our secret sauce is our road mapping
[00:14.96]  process the firm will have 20 to 30
[00:17.68]  active road maps
[00:19.12]  part of our predictions that used to be
[00:20.72]  internal road maps we now
[00:22.64]  expose to the world and we're thrilled
[00:25.52]  to be unveiling
[00:26.64]  our annual state of the cloud report
[00:28.72]  we're going to try to talk about
[00:30.32]  where we've been where we're at and then
[00:32.88]  where we think we're headed
[00:34.96]  you essentially now have a playbook to
[00:36.64]  how to go out and build your
[00:38.16]  great cloud business you now have a peer
[00:41.28]  group and a support group not just
[00:42.64]  through online communities like saster
[00:44.72]  but through a pure ceo set that is
[00:47.36]  absolutely world class
[00:48.88]  you're not alone you don't need to
[00:50.48]  figure this all out for the first time
[00:52.32]  as people did 20 years ago
[00:54.42]  [Music]
[00:55.92]  the two things that i loved the most
[00:57.28]  outside is just the general value prop
[00:58.88]  one it's
[00:59.52]  the story and the product is personal to
[01:01.60]  the founder
[01:02.56]  just understanding where you
[01:03.92]  differentiate and how you're going to
[01:05.36]  win
[01:06.08]  being able to clearly articulate that is
[01:07.76]  really key we can't wait to see what
[01:09.68]  you're going to build
[01:10.56]  keep kicking ass thank you
[01:15.93]  [Music]
[01:27.36]  hello sastor peeps it is so good to be
[01:31.04]  with you
[01:32.08]  again this year despite the
[01:33.44]  circumstances and uh elliot and i
[01:35.84]  are thrilled to live stream to all of
[01:38.40]  you
[01:38.96]  thousands around the world in different
[01:40.72]  places in different time zones
[01:43.60]  hey everyone thanks for having us back
[01:45.36]  really looking forward to the discussion
[01:46.72]  today
[01:47.84]  and today we're joined by our third
[01:49.60]  partner and newest partner at bessemer
[01:51.84]  mary welcome mary hi thanks so much for
[01:55.20]  having me and
[01:56.00]  great to be here so we've been working
[01:58.48]  hard on this
[01:59.44]  and uh typically we would be launching
[02:01.52]  this live with thousands of you in the
[02:03.36]  audience
[02:04.32]  and uh each year that's something that
[02:06.56]  frankly we really look forward to the
[02:08.00]  energy the feedback the interactions in
[02:09.84]  the halls and over drinks
[02:11.84]  so we're going to have to ad-lib a
[02:13.52]  little bit for the obvious circumstances
[02:16.48]  but one of the benefits of doing it this
[02:18.16]  way is that we can simultaneously make a
[02:20.48]  bunch of digital content available
[02:22.16]  to you and so at the end of the
[02:23.60]  presentation we'll talk through where
[02:25.12]  you can download the report get videos
[02:26.96]  get follow-ups and really build on all
[02:28.88]  of the content here
[02:30.88]  but it was just over a year ago that
[02:33.84]  elliot and i were doing this
[02:35.44]  which is uh we we did the quick pivot
[02:37.84]  from trying to be on live stage at
[02:39.60]  saster
[02:40.56]  and recording what became then our first
[02:43.04]  online
[02:44.08]  um and on demand version of state of the
[02:46.72]  cloud
[02:47.68]  little did we know that what we thought
[02:49.68]  was going to be days or maybe weeks has
[02:51.44]  turned into months
[02:53.12]  but we're always evolving and iterating
[02:55.20]  and that's that's really what uh
[02:57.04]  the new new normal has become in the
[02:58.80]  covid world and one of the things that
[03:00.72]  we we spend a lot of time with
[03:02.88]  um as venture capitalists is trying to
[03:05.68]  predict the future
[03:06.64]  and doing a bunch of scenario planning
[03:08.64]  so the upside the downside
[03:10.64]  i guess the wipeout or or the black swan
[03:13.04]  as many venture capitalists call it
[03:14.56]  but the one thing that we definitely
[03:16.32]  didn't predict was a global
[03:18.00]  pandemic um just as a fun fact we had
[03:20.96]  done all of our predictions and put
[03:22.56]  together the slides for last year say
[03:24.16]  the cloud
[03:24.88]  before covid took hold um and you know
[03:28.48]  we just had to adjust on the fly as
[03:30.48]  byron talked about
[03:32.40]  but one of the things that we are really
[03:33.92]  proud of um in terms of predicting the
[03:36.40]  future was in last year's predictions we
[03:38.40]  talked about the future of work will be
[03:40.08]  remote
[03:40.80]  our partner talia goldberg spends a lot
[03:42.80]  of time and really spearheads our work
[03:45.04]  in this
[03:45.52]  this sector we had highlighted some of
[03:47.84]  the really interesting companies
[03:49.76]  you know whether it's miro uh whether it
[03:52.32]  was zoom for example or
[03:54.08]  all the collaboration tools we are
[03:56.56]  really excited about our prediction last
[03:58.24]  year and of course we're all living in
[03:59.60]  this new normal where
[04:00.96]  now we're doing stay the cloud together
[04:02.72]  over zoom
[04:07.44]  and before we were able to settle into
[04:09.44]  any sort of a new normal we wondered if
[04:11.36]  it would even be possible
[04:13.12]  just after shelter in place the shelter
[04:15.36]  in place order took effect the stock
[04:16.88]  market reflected the uncertainty we were
[04:18.64]  all feeling
[04:19.52]  and in march of 2020 we saw the major
[04:21.84]  indices each drop over 30 percent over
[04:24.40]  the course of three weeks
[04:25.84]  as the market experienced its steepest
[04:27.52]  crash in history
[04:29.04]  and during this time as venture
[04:31.20]  capitalists and justice people
[04:33.04]  we saw the beginning of fundamental and
[04:34.56]  abrupt changes to the way we all live
[04:36.48]  and work
[04:39.44]  so we were all adjusting to uh some
[04:42.08]  version of this new normal
[04:43.68]  uh and certainly it changed how we
[04:47.44]  work live and play um this is a scene
[04:50.32]  from a park
[04:51.12]  that uh no one would have possibly
[04:53.12]  imagined
[04:54.40]  a year ago as we were doing this um each
[04:57.44]  year at bessemer we hosted an event in
[04:59.20]  san francisco
[05:00.24]  um that is a cloud-focused event and
[05:02.88]  even that had to evolve this is our
[05:04.48]  cloud 100
[05:06.24]  group an example of a session that
[05:07.84]  normally would have been in person
[05:09.84]  moved to digital we are fortunate to
[05:12.08]  still have a great lineup and a
[05:13.36]  worldwide
[05:14.32]  attendee group but certainly even
[05:16.24]  venture firms are having to adjust to
[05:17.92]  what this means
[05:19.44]  this is actually a shot of our recent
[05:21.52]  monday meeting everyone given
[05:23.52]  you all uh hello from the bessemer
[05:25.44]  partnership around the world
[05:27.36]  and indeed our meetings too have now
[05:29.52]  gone to hybrid
[05:30.96]  and evolved formats so
[05:34.48]  as we like to say welcome to the new
[05:37.12]  normal some versions of this will
[05:39.04]  persist
[05:39.84]  and there's a lot of efficiency gains
[05:41.76]  and even some
[05:42.88]  um some broader gains that we do think
[05:45.44]  will
[05:46.08]  persist and will benefit from the cloud
[05:48.40]  enablement
[05:49.36]  uh and the cloud tailwinds that our
[05:51.20]  industry has been experiencing
[05:53.92]  and don't get me wrong i'm as eager as
[05:55.76]  all of you to get back to
[05:57.60]  my office and to other people's homes
[05:59.84]  and to meet entrepreneurs in person
[06:03.20]  but a lot of things that have
[06:05.52]  accelerated
[06:06.80]  we think will reflect across you know
[06:09.04]  long-term tech
[06:10.00]  trends um and as we go into things today
[06:13.44]  you'll see a lot of industries this an
[06:15.60]  example of telehealth
[06:17.20]  that has skyrocketed given the cloud
[06:20.24]  and covid combination a 300x
[06:23.52]  increase in health telehealth visits and
[06:26.40]  so today we're going to talk about
[06:28.08]  a lot of these things that have
[06:29.28]  accelerated and what that means for the
[06:32.08]  economy and what that means for our
[06:33.44]  cloud industry
[06:34.88]  and then mary's going to dive in and
[06:36.24]  share some insights on the private cloud
[06:38.40]  marketplaces
[06:39.44]  and marketplace and companies from her
[06:42.32]  original analysis
[06:44.16]  elliot's going to talk about some of the
[06:45.60]  go to market lessons that you're all
[06:47.36]  probably wrestling with
[06:48.56]  and iterating on and and uh discovering
[06:51.12]  on your own in some ways but we're going
[06:52.56]  to try to distill those best practices
[06:54.40]  and share that back out
[06:56.08]  and then of course like every year we
[06:58.08]  will share with you
[06:59.12]  our seven predictions for 2021 for the
[07:01.44]  cloud industry
[07:03.36]  but let's dive into some more industries
[07:05.04]  specifically and obviously healthcare
[07:06.88]  here
[07:07.44]  is the ultimate in person industry as
[07:09.36]  one uh very clear example
[07:11.76]  this is an example from one of our
[07:13.60]  portfolio companies hinge health
[07:16.16]  but also as parents out there let's talk
[07:18.24]  about education
[07:20.16]  myself i'm a parent of three all of uh
[07:23.04]  whom are now
[07:24.32]  adjusting to some form of hybrid
[07:26.24]  learning and
[07:27.68]  perhaps not surprisingly 93 percent
[07:30.72]  of households are now doing the same um
[07:33.44]  whether it's
[07:34.16]  you know the zoom tools or the lms
[07:36.00]  solutions uh like canvas
[07:38.48]  or our portfolio company as well like
[07:40.24]  brightwheel which is enabling preschools
[07:42.56]  daycare centers and camps
[07:44.64]  to use technology to help their teachers
[07:47.04]  and families communicate and connect
[07:49.28]  while also supporting the back offices
[07:51.04]  of these businesses
[07:53.84]  and then next to the front line
[07:55.60]  healthcare workers perhaps no industry
[07:57.36]  has been more impacted
[07:58.64]  or no class of business has been more
[08:00.24]  impacted than the smb
[08:01.68]  and small business workers out there
[08:04.08]  certainly the restaurant industry
[08:05.76]  front and center as brick and mortar
[08:07.36]  businesses are under
[08:09.28]  extreme pressure and yet companies like
[08:11.76]  toast have really helped them
[08:13.44]  uh evolve and adapt to the new mobile
[08:16.16]  ordering and online payments world
[08:18.48]  the construction industry is another
[08:20.08]  example of this in some ways
[08:21.84]  also the ultimate in-person physical
[08:24.32]  industry
[08:25.84]  and yet these businesses as well are now
[08:28.56]  um
[08:29.04]  moving to collaborate virtually on cloud
[08:31.68]  technology stacks
