Title     : Veeva:  The Biggest Vertical SaaS Success Story of All Time with Founder/CEO Peter Gassner
Video ID  : bN5Zstc_v4A
URL       : https://www.youtube.com/watch?v=bN5Zstc_v4A
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1044
Saved at  : 2026-06-21 00:34:00
------------------------------------------------------------

[00:00.32]  all right let's welcome Peter gastner
[00:01.68]  from viva system super cool Peter thanks
[00:04.88]  for coming this is great thank you so uh
[00:08.52]  I appreciate you coming I know you're
[00:09.96]  not on the traditional speaking tour are
[00:11.64]  you no I'm did you miss the Crunchies
[00:13.28]  this year were you able to go you know I
[00:15.12]  don't I might not even know what that is
[00:16.56]  you don't even know what it is so this
[00:18.40]  is a great uh it's a great I mean twilio
[00:21.24]  is one of our most like iconic last IPOs
[00:23.32]  and Viva is just uh it's my favorite
[00:25.72]  success story so it's fun fun to share
[00:27.28]  it here so um um Let me let me hit a
[00:31.80]  couple highlights on Viva or actually
[00:33.08]  give us 60 seconds on Viva and then I'll
[00:34.56]  add a couple other highlights for folks
[00:35.72]  that are here tell us your version of
[00:37.36]  the the history the history of via so
[00:39.68]  Basics 10 years old about 1,700 people
[00:43.52]  were building the industry Cloud for
[00:45.12]  Life Sciences so our customers are
[00:47.12]  people like fizer and naris Etc that are
[00:49.88]  making medicine to to help U improve
[00:52.64]  life and we provide a variety of cloud
[00:55.24]  solutions for them so in a nutshell what
[00:57.28]  we say is we're building the industry
[00:59.60]  cloud for Life Sciences so we want to be
[01:02.72]  essential and appreciated to every CEO
[01:05.84]  in the Life Sciences industry and help
[01:07.60]  them be more efficient and effective
[01:09.68]  because what they're trying to do is
[01:10.92]  bring better medicine to people and we
[01:13.56]  want to help them do that yeah it's
[01:15.52]  pretty cool so we'll get into that so 10
[01:17.12]  years old just about now we'll come back
[01:18.92]  to that about a $600 million run rate at
[01:21.60]  this point yeah it's pretty pretty
[01:23.16]  impressive what do you guys
[01:25.20]  think it's pretty cool um and uh
[01:30.56]  um and started off primarily as Pharmacy
[01:34.84]  RM right and now we've got a couple
[01:36.52]  different products which we'll shout
[01:37.44]  about in a minute and what's the suite
[01:38.84]  like today well we have a suite of
[01:41.28]  products so started off in Pharmacy RM
[01:43.76]  uh 10 years ago really focusing in there
[01:46.00]  build this CRM product on
[01:48.04]  salesforce.com about 2010 we started a
[01:51.24]  completely different product line This
[01:53.16]  Viva Vault around content management
[01:55.52]  that makes up about a 35% of our Revenue
[01:58.00]  now and then we have some newer products
[02:00.16]  some of our newest products are actually
[02:01.52]  in the data area where we're generating
[02:03.76]  unique data that the life sciences
