Title     : What's New at Greenhouse!  $200m ARR, AI in the Real World, Getting Bought by PE, More
Video ID  : dTdSjvbRsQ8
URL       : https://www.youtube.com/watch?v=dTdSjvbRsQ8
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1279
Saved at  : 2026-06-20 22:56:19
------------------------------------------------------------

[00:00.60]  all right everybody it's saster um super
[00:02.84]  excited to have a good friend of mine a
[00:05.00]  good friend of saster Daniel ch's
[00:07.28]  co-founder in COO of greenhouse Daniel
[00:10.32]  thank you for being with us once again I
[00:12.16]  really appreciate it absolutely look
[00:14.60]  looking forward to the conversation is
[00:15.88]  it's always great to be talking to you
[00:17.12]  Jason and and uh I've have known Daniel
[00:21.32]  since pre-revenue at Greenhouse I was an
[00:23.84]  advisor and small
[00:25.56]  shareholder uh became very passionate
[00:27.76]  about the company in the beginning knew
[00:28.92]  one of his co-founders from my first
[00:30.40]  internet job so a lot of history here
[00:32.72]  Daniel was at the first saster annual we
[00:35.56]  had uh at least at the first I think it
[00:37.96]  was on our 20center panel I picked I
[00:40.76]  think I picked four C three and a half
[00:42.68]  CEOs around a million of Revenue and
[00:45.00]  said they're all going to make it it was
[00:46.64]  Daniel um it was Nick meta from a gain
[00:50.04]  site it was Thiago from uh talk des and
[00:54.44]  Nicholas from uh aloy and I think I
[00:57.96]  don't know whether you disclosed your r
[01:00.00]  not but everyone is sort of in the 200
[01:01.72]  million-ish ARR all interesting that
[01:04.20]  panel it's very interesting for SAS give
[01:06.72]  me a little credit for predicting that
[01:09.32]  100% of the 20 percenters got to 200
[01:12.56]  million in Revenue it's pretty
[01:14.24]  interesting isn't in terms of recurring
[01:15.60]  Revenue that's a pretty good hit rate I
[01:17.56]  mean it begs the question of was that
[01:19.36]  just good prediction or were you able to
[01:21.04]  make that happen through your excellent
[01:22.80]  advice and programming I think you can
[01:25.60]  help a little bit um I think there's
[01:28.12]  probably a lot of learnings I mean
[01:29.92]  honestly I don't know what your thoughts
[01:30.84]  are looking back I think cloud is so
[01:32.56]  much bigger today right and in a way if
[01:35.04]  you look back to 2015 if you are able to
[01:38.00]  achieve any decent level of growth
[01:40.48]  triple triple double double right and
[01:41.96]  Greenhouse grew faster than that for a
[01:43.32]  while you had to have insane product
[01:45.56]  Market fit because the markets were we
[01:47.08]  didn't realize it but the markets were
[01:48.68]  like a 50th of the size that they are
[01:50.72]  today
[01:51.88]  right yeah and it's funny I mean you
[01:53.96]  talked about meeting us before we were
[01:56.40]  you know in the pre-revenue I literally
[01:58.20]  remember and I wasn't just joking about
[01:59.52]  your advice like I remember we would
[02:00.84]  have these moments where we would be
[02:01.92]  grappling with some question about our
[02:03.72]  early go to market and trying to figure
[02:05.00]  out how to get our first few customers
[02:06.52]  or grow in this way and you would write
[02:09.36]  a blog post like that Friday like
[02:12.56]  coincidentally addressing that same
[02:14.32]  question and with the answer and we
[02:16.12]  would basically just like take whatever
[02:17.80]  you wrote and like do it and it worked
[02:20.00]  and like I don't know I think that's a I
[02:22.52]  think obviously like you had a lot of
[02:23.84]  great advice for sure but I also think
[02:25.84]  it speaks to the point that you were
[02:27.28]  just saying which is like we were there
[02:29.88]  we were in this moment that that these
[02:31.56]  markets were just growing up and all
[02:33.28]  these things that are now playbooks and
[02:35.44]  there's a lot of repeatable uh stuff out
[02:37.56]  there and people have done it before
[02:38.80]  were all just getting figured out for
[02:40.04]  the first
[02:41.16]  time and so it was kind of this moment
[02:43.64]  where you could you could just do the
[02:46.24]  vanilla SAS 101 Playbook and since your
[02:48.92]  buyers hadn't heard it all a thousand
[02:50.16]  times it worked do you think um just
[02:53.52]  looking back in terms of the level of
[02:55.28]  sophistication in SAS today could
[02:57.52]  something like the greenhouse of that
[02:59.84]  time 2015 could that even make it to
[03:02.84]  market today um how how has the market
[03:05.12]  changed for like overall HR software
[03:08.20]  applicant tracking recruiting like but
[03:10.24]  does that Greenhouse 1.0 would it even
[03:11.92]  get off the ground today you know it's
[03:14.36]  funny um yeah getting off the ground is
[03:16.88]  one thing in fact I was just having this
[03:18.40]  conversation earlier today with with a
[03:19.80]  startup founder yeah trying to do an
[03:21.88]  hrtech startup and my thing is like it's
[03:24.72]  such an easy and obvious pitch as a new
[03:27.68]  startup in HR Tech it's like she's hey
[03:30.40]  you know here's our idea there's a real
[03:32.44]  shortage of talent every company is
[03:34.60]  desperate and yet they all say it's
[03:35.76]  important and so like we've got this
[03:37.36]  thing that helps you like get better at
[03:39.00]  hiring um I'm like yeah everybody knows
[03:42.32]  that there's a like it's not interesting
[03:44.52]  to say that anymore um and and and by
[03:47.04]  the way I just walked around the HR Tech
[03:48.72]  conference which is like the biggest
[03:49.80]  industry Expo in our in our field and I
[03:52.36]  saw like 47 booths that all said like
[03:55.60]  finally we're here to solve all your
[03:57.16]  hiring problems in one box and just like
[03:59.68]  so that pitch has been done to death um
[04:02.24]  and I think buyers are a little bit
[04:03.68]  jaded about it because they've heard it
[04:05.68]  so many times at the same time if it's
[04:08.00]  easy for them to try like they'll try it
[04:09.84]  and so one sort of failure mode I see
[04:11.80]  over and over again is hey we've got a
[04:14.20]  cool new source of candidates and
[04:16.00]  everybody says signs up and say great
[04:17.36]  I'll give you five grand and your ARR
[04:19.04]  goes way up it's like really easy to get
[04:21.36]  to like 10 or 15 million of ARR and even
[04:24.08]  today yeah the problem is you can't you
[04:27.56]  know what happens next and and if you're
[04:28.96]  on the VC
[04:30.28]  Journey you know then then you just top
[04:32.48]  out and and you melt and I've seen that
[04:34.00]  happen time and time again in the ATS
[04:35.96]  industry it's a different story but
[04:37.80]  we're seeing this happen over and over
[04:38.96]  again is people come out and they say
[04:41.40]  your ATS is Clumsy and big and
[04:44.24]  complicated and expensive and ours is
[04:46.20]  cool and new and shiny and and nice to
[04:49.04]  use and by the way it's cheaper that's a
[04:51.60]  great pitch and that happens every year
[04:54.20]  and every year there's a new flavor you
[04:55.84]  know that comes out and then you know
[04:57.20]  some of the buyers go like oh it's a
[04:58.56]  little bit cheaper I'd rather spend
[04:59.80]  three grand than seven Grand and yeah it
[05:01.52]  is kind of nice to use um the problem is
[05:05.28]  if you're in business for any amount of
[05:06.68]  time you end up getting your your
[05:09.12]  product ends up getting a little bit
[05:10.28]  older you have hiring is really
[05:12.72]  complicated so if you're going to keep
[05:13.84]  solving different use cases if you don't
[05:15.32]  just want to have 200 customers you want
[05:17.28]  to get to 200 million of AR you got to
[05:19.28]  build a lot of software and so what you
[05:21.84]  can't do is be nice easy simple to use
[05:25.20]  cheaper than everyone else and big it's
[05:27.64]  just not it's tough right it is tough
[05:29.68]  I've never seen anyone do it so how are
[05:31.64]  I still um when I when I get uh copied
[05:35.40]  on emails from Founders I know or
[05:37.56]  portfolio companies it's I still feel
[05:39.16]  like the vast majority I'm seeing
[05:40.52]  Greenhouse there even relatively early
[05:43.56]  stage so how are you thinking about that
[05:45.76]  long tail like when you do have to be
[05:47.32]  very rich and Enterprise and complicated
[05:49.24]  in workflow I and I see so many folks
[05:52.84]  implicitly or explicitly abandon the
[05:55.16]  longtail sometimes it's like they cut it
[05:56.84]  off relentlessly sometimes they ignore
[05:59.04]  it right right um how have you thought
[06:01.20]  about that as you've gotten to put up
[06:02.64]  these big numbers yeah I mean I think
[06:04.88]  we've always tried to be really
[06:05.96]  intentional um in our in our strategy
[06:08.84]  and in this way in particular we've
[06:10.64]  always thought of it as we want to be
[06:13.28]  multi- segment I know it's a trade-off I
[06:15.64]  know it's a choice we're doing it
[06:17.20]  knowingly but we always thought um
[06:20.52]  number one you get a great portfolio
[06:22.12]  effect so in a year like this the SMB is
