Title     : "What Do You Mean They Quit?!" Why Engineers Leave |  Plato, Change.org & Notion
Video ID  : SQRr_QnDbLI
URL       : https://www.youtube.com/watch?v=SQRr_QnDbLI
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 711
Saved at  : 2026-06-20 23:18:57
------------------------------------------------------------

[00:05.20]  please welcome plato co-founder and ceo
[00:08.32]  kwang huang
[00:09.68]  change.org cto elaine joe and notion
[00:13.52]  head of engineering michael manapat
[00:16.40]  [Applause]
[00:22.00]  good morning everyone thank you for uh
[00:24.48]  being here hola
[00:26.64]  toros
[00:28.64]  um with erp right so um
[00:32.40]  my name is quang i'm a co-founder and
[00:34.40]  ceo of plato and
[00:36.56]  as i've been talking to many
[00:39.84]  engineering leaders
[00:41.44]  the
[00:42.48]  the
[00:43.60]  the world is scary out there
[00:45.84]  it is uh it is scary um we have so many
[00:50.72]  so many uh different stories of
[00:53.44]  engineering leaders that are just
[00:55.84]  having a really hard time to hire
[00:58.24]  engineers
[00:59.44]  and more importantly to retain those
[01:02.00]  engineers
[01:03.52]  it costs a lot of money to actually
[01:06.56]  retain the engineers
[01:09.28]  one-third of new hires usually leaves
[01:12.16]  after 6 months
[01:14.32]  18 months is actually the average dinner
[01:17.04]  for an engineer in silicon valley so 18
[01:20.88]  months so just by the time you hire them
[01:23.12]  they actually already left so that's a
[01:25.20]  lot of
[01:26.40]  figures that are pretty scary out there
[01:28.72]  but the more i talk with engineering
[01:31.20]  leaders the more i get some really
[01:34.00]  interesting advice and today i'm very
[01:36.48]  very happy and honored to
[01:39.04]  have two of the best engineering leaders
[01:41.44]  i know
[01:42.88]  they have
[01:44.16]  very interesting stories and very
[01:46.80]  interesting tips to share to all of you
[01:50.00]  um
[01:50.88]  michael
[01:52.24]  elaine do you want to introduce yourself
[01:53.76]  really quick
[01:55.92]  sure i'm michael i'm the head of
[01:57.36]  engineering at notion and for those of
[01:58.96]  you aren't familiar with that notion is
[02:00.56]  an on-one tool for tasks docs wikis
[02:03.84]  things like that
[02:05.12]  but beyond just those use cases notion
[02:07.36]  wants to be a platform for building
[02:08.96]  software tools in general so you can
[02:10.72]  imagine most sas products are built out
[02:12.40]  of the same kind of primitives an editor
[02:14.96]  databases workflows automations to kind
[02:17.68]  of build that platform so individuals
[02:20.48]  companies developers can all customize
[02:22.88]  our software tools on notion
[02:24.96]  so i've been there for about two years
[02:26.16]  we've grown from around 40 people to
[02:28.08]  around 300 over those two years around
[02:30.48]  10 engineers 125. i was at stripe for
[02:33.28]  about six years before notion where i
[02:34.88]  ran the machine learning practice
[02:37.52]  hi my name is elaine joe i'm the cto at
[02:39.92]  change.org i
[02:42.08]  hope that you have heard about change
[02:44.24]  and all
[02:45.44]  have the users of change either signing
[02:48.00]  out petitions or contributing or
[02:50.16]  creating petitions change.org is the
[02:53.28]  world's largest petition platform for
[02:56.88]  people to make changes they want to see
[02:59.92]  we have over 400 million users around
[03:03.04]  the globe in 196 countries or regions
[03:08.24]  so my role is manage the product and
[03:11.04]  engineering teams especially in
[03:12.80]  engineering we have over about 70 people
[03:15.68]  we are completely owned by a non-profit
[03:18.48]  so we have a very different approach and
[03:22.08]  also its unique challenges
[03:24.80]  compared to many other large big tech
[03:27.20]  companies
[03:29.04]  what is fascinating when i
[03:31.68]  talk to the two of you is
[03:34.24]  you have such a different company in
[03:36.24]  terms of
[03:37.76]  you're an ngo
[03:39.44]  you are super high growth classic and
[03:42.24]  traditional startup
[03:44.48]  and the lever you have to actually
[03:47.12]  retain and engage the engineers are very
[03:49.20]  different and so that was fascinating
[03:51.76]  and hopefully we're going to get to all
[03:53.60]  of this together so the more i talk to
[03:56.72]  engineering leaders the more
[03:59.20]  i see retention as a journey
[04:02.40]  a journey of the engineer
[04:04.40]  it's like a product when you try to
[04:07.04]  retain your users you have to retain
[04:08.88]  them from day one from even before they
[04:12.64]  join your product or your platform it's
[04:14.64]  the same thing for engineers you have to
[04:16.48]  think about how you retain them even
[04:19.04]  before they join your your company which
[04:21.44]  is interesting and then when they join
[04:24.32]  your company and then even after when
