Title     : What to Expect at SaaStr Annual 2025!!  See You Sep May 13-15 in SF Bay Area!!
Video ID  : sNkqYW3HqY4
URL       : https://www.youtube.com/watch?v=sNkqYW3HqY4
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 46
Saved at  : 2026-06-20 23:21:37
------------------------------------------------------------

[00:01.36]  saster is the place where all the sas
[00:03.76]  tech companies come together
[00:06.00]  we just happen to love for five ten
[00:08.40]  fifteen thousand of us to get together
[00:10.48]  every year
[00:12.24]  it feels like a reunion when you come to
[00:14.00]  disaster it feels like it's a community
[00:15.92]  and a place where the software industry
[00:17.60]  can connect
[00:19.20]  i never expected so many sas companies
[00:22.08]  here
[00:22.93]  [Music]
[00:24.16]  i miss this you know i miss connect and
[00:26.40]  i just connected with a whole panel of
[00:28.08]  cmos from unbelievably successful
[00:30.08]  companies just walk the floor and meet
[00:32.56]  every ceo and swap notes
[00:35.04]  you talk to people and you think you're
[00:36.64]  smart when you arrive here then you
[00:38.32]  realize everybody else is smarter
[00:40.64]  you're missing out on meeting some of
[00:42.56]  the best other minds who are tackling
[00:44.40]  the same problems that you are
[00:46.56]  you have to be as good as you can get
[00:48.64]  and part of that is learning from the
[00:50.08]  best and they have such a solid lineup
[00:52.08]  of speakers that you can't ignore
[00:54.32]  i love all of the ways to learn
[00:57.60]  i want to share those experiences with
[00:59.28]  others in the community but at the same
[01:00.88]  time i'm constantly learning
[01:03.44]  this is by far the most fun annual ever
[01:06.08]  here to sass it up and get sassy today
[01:09.69]  [Music]
[01:20.72]  we're surrounded by brands by logos that
[01:24.00]  we need to be in front of all of the
[01:26.24]  companies that we could potentially
[01:27.76]  invest in are at saster
[01:30.24]  they're going to come and show the world
[01:31.92]  what they're doing and it's new and it's
[01:33.68]  exciting but also the categories that
[01:35.68]  already exist are getting revisited
[01:38.00]  reimagined and they're growing and
[01:40.08]  they're showcasing how they're doing it
[01:41.76]  right here at saster
[01:45.91]  [Music]
