Title     : Where is Venture Today?  And How Do You Hack It?  A Deep Dive w/ Sunil Dhaliwal, GP Amplify Partners
Video ID  : 8w6K7slhLX4
URL       : https://www.youtube.com/watch?v=8w6K7slhLX4
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 1279
Saved at  : 2026-06-20 23:41:39
------------------------------------------------------------

[00:01.20]  hey everybody at saster i wanted to have
[00:03.28]  another
[00:03.92]  fun informal conversation with one of i
[00:07.04]  think the most insightful
[00:08.56]  and smartest uh cloud investors
[00:11.76]  sunil daliwal gp and founder of amplify
[00:14.64]  partners
[00:15.84]  interesting for a couple reasons but um
[00:18.48]  sunil's been investing in cloud
[00:21.44]  internet since before almost anybody
[00:23.52]  right you've spent almost your entire
[00:25.04]  career in venture
[00:26.56]  back when a 200 million of 800 million
[00:29.60]  exit might be exciting before any of
[00:31.28]  this stuff was hot
[00:32.96]  is that fair to say 800 million exit
[00:35.20]  would be insane
[00:36.88]  be insane one of the biggest firms
[00:39.44]  around and i think we had we had
[00:41.36]  a 200 million dollar fund and people
[00:43.20]  like i can't believe we're running 200
[00:44.64]  million dollars in venture capital
[00:46.40]  it's crazy right so not that many people
[00:48.80]  have started
[00:49.68]  so early in the career so long in the
[00:51.36]  space and great investments
[00:53.28]  that we know like datadog and fastly um
[00:56.48]  and good at it um you know beezer
[00:59.12]  clarkson just tweeted out that
[01:00.88]  uh at least one of the amplifi funds was
[01:02.48]  the top one the top performing in the
[01:03.92]  sapphire portfolio so
[01:05.84]  that's a good thing but even more
[01:07.44]  interestingly i got to know sunil
[01:09.68]  uh a bit informally and i loved his his
[01:12.00]  somewhat skepticism of things in the
[01:13.76]  industry
[01:14.88]  and his founder-centric view of things
[01:16.64]  which aligns with my values so his
[01:18.32]  insights i find
[01:19.84]  i find very helpful as an insider that's
[01:21.92]  also founder-centric that's a way that i
[01:24.08]  think we all can learn
[01:26.00]  and so i kind of want to dig in on a few
[01:27.44]  topics um
[01:29.12]  he did just raise a 375 million dollar
[01:31.28]  fund i don't want to do too much
[01:32.72]  inside baseball but it's a lot of money
[01:34.72]  when back in the day it
[01:36.00]  bad or whatever 200 seemed a lot so
[01:37.60]  we'll talk about that we'll talk about
[01:38.72]  fundraising during a pandemic
[01:40.72]  um i want to talk a little bit about how
[01:42.80]  ventures change and then i want to talk
[01:44.40]  about competing
[01:45.36]  investing in the competitive space
[01:46.56]  because we love datadog as one example i
[01:48.64]  want to use it a quick case study but
[01:50.08]  with
[01:50.80]  20 100 vendors in the space how can
[01:53.04]  founders compete
[01:54.48]  in general and with vcs in in a crowded
[01:56.72]  space but
[01:58.32]  maybe let's kick it off talk about like
[02:00.48]  375 million is that a lot of money
[02:02.64]  um and what does it mean to a founder
[02:04.32]  like i read the press release you guys
[02:05.68]  have raised your fourth fund through
[02:06.88]  what as a founder what should i take
[02:08.24]  away from that headline number what does
[02:09.44]  it mean to me
[02:10.48]  yeah so i think there's a there's a the
[02:12.96]  headline numbers are confusing
[02:14.88]  um i think you always want to put a
[02:16.24]  little bit of context around them and
[02:17.52]  then they'll probably give you some
[02:19.04]  actual data as opposed to just looking
[02:22.24]  at headline numbers so
[02:23.76]  for us the thing that's always managed
[02:26.24]  is for
[02:27.44]  the thing that's always mattered has
[02:29.12]  been how much money
[02:31.12]  is each investing partner managing and
[02:33.44]  you go in the wayback machine to 2012
[02:35.52]  when i started amplify amplify one was
[02:38.00]  me
[02:38.72]  and 49.1 million dollars right it was
[02:42.08]  50. so one person 50. and then over the
[02:45.12]  course of that fund
[02:46.48]  i recruited in you know who is
[02:48.40]  effectively the co-my co-founder
[02:51.04]  he runs amplify with me um
[02:54.08]  is mike dauber and and mike and i
[02:56.32]  together raised fund two
[02:58.16]  and that was 125 million so call that
[03:01.04]  like 60-ish and change
[03:02.72]  62 yep um and then over the course of
[03:06.00]  that fund we had promoted up
[03:07.92]  david byer to partner and recruited
[03:09.84]  lenny pruss away from red point to join
[03:11.76]  us and we'd known rhett lenny from long
[03:13.52]  way back
[03:14.32]  and so when fund three went out we're
[03:15.84]  four people in 200 million bucks and
[03:17.60]  magically we're back at 50 million
[03:19.60]  dollars
[03:21.20]  and our current fund is actually 275
[03:24.32]  and we'll come back to the to the select
[03:26.24]  fund a second but 275 is now divided
[03:28.48]  amongst five of us
[03:29.84]  with sarah catanzaro also joining us or
[03:32.08]  being promoted up to partner
[03:33.68]  so magically we've stayed right around
[03:37.12]  50 this those 55 million this time
[03:39.20]  around so we've got to stay 50 to 60 per
[03:41.20]  person
[03:42.08]  and if i found you know what you asked
[03:44.32]  was what should a founder think about
[03:45.68]  that
[03:46.32]  i don't know if they should think
[03:47.44]  anything of it um yeah that's the
[03:49.36]  question right it may mean less than you
[03:50.88]  think right
[03:52.08]  yeah and i think you know i guess if my
[03:54.24]  strategy was to show up
[03:55.92]  and to try and lead an 80 million dollar
[03:58.48]  round and write a 50 million dollar
[04:00.08]  check to do that
[04:01.20]  and you're like wait a second 275
[04:03.12]  divided by five people your piece of
