Title     : Which VP Should You Hire First?  Sales?  Marketing?  Product?  Here's What To Do
Video ID  : zH4_fJW7IQs
URL       : https://www.youtube.com/watch?v=zH4_fJW7IQs
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 144
Saved at  : 2026-06-20 23:41:51
------------------------------------------------------------

[00:00.16]  so here's the one that like everybody
[00:02.56]  gets
[00:03.04]  a little bit wrong which is
[00:06.24]  which vp i finally got to a million or
[00:08.48]  even 2 million in revenue which vp
[00:10.00]  should i hire first
[00:11.04]  90 of you in the audience will want to
[00:12.72]  hire the vp of sales first right
[00:14.48]  you'll finally figure out how to get
[00:15.60]  customers you'll get tired you'll feel
[00:17.60]  like if i can find this great vp of
[00:19.20]  sales she'll be a magician
[00:20.88]  i'll sell more it's true absolutely if
[00:24.40]  at a million in revenue you're ready a
[00:26.16]  million two at the latest you are
[00:27.76]  absolutely ready for a vp of sales once
[00:29.52]  you even have
[00:30.08]  two reps at quota as soon as you have
[00:33.20]  two a great vp can take you from
[00:35.60]  three to three hundred that's her job
[00:37.36]  she can do it but what people don't get
[00:39.92]  is that you should hire actually
[00:43.12]  any great vp you can find at a million
[00:45.20]  this is the mistake we get we fixate on
[00:47.28]  this magician
[00:48.56]  that's going to magically bail us out
[00:50.64]  but here's the magic
[00:52.08]  once you get a million you're trying to
[00:53.44]  go to 2 million or 3 million in the next
[00:55.36]  year
[00:56.16]  that means that all of these vps if
[00:58.48]  they're awesome will be accretive
[01:00.56]  so yes you want the vp of sales but what
[01:02.88]  about a vp of marketing
[01:04.00]  imagine i hired my i wrote this post
[01:05.84]  years ago because i didn't get it i
[01:07.36]  hired my vp of marketing
[01:09.04]  at 20 000 a month in mrr and she was not
[01:12.32]  only great she was a creative
[01:14.24]  like why would she be creative let's
[01:15.60]  imagine you hire a vp marketing even
[01:16.96]  later at a million
[01:18.32]  and and she brings more leads in i just
[01:20.80]  invested in a company at a million in
[01:22.24]  revenue
[01:22.88]  it has 40 leads a month it's doing well
[01:25.52]  and the next thing we're going to do is
[01:26.88]  hire a vp of demand gen you want to know
[01:28.72]  why
[01:29.28]  if she gets them just from 40 to 50
[01:31.52]  leads a month and
[01:32.64]  and those leads are worth twenty
[01:34.32]  thousand forty fifty thousand dollars
[01:36.16]  each
[01:36.72]  isn't she gonna more than pay for her
[01:38.24]  salary of course she is right
[01:40.32]  of course this vba marketing can get if
[01:42.56]  she gets you 50
[01:43.60]  more leads and instead of going from one
[01:45.12]  to two this year you go from one to
[01:46.64]  three an extra million even an extra
[01:48.40]  half million
[01:49.44]  she's gonna more than pay for herself
[01:51.36]  right then and there at least probably
[01:52.64]  in two quarters so
[01:54.72]  absolutely anyone that can get you more
[01:56.48]  good leads is is worth their weight
[01:58.56]  they're worth their salary and their
[01:59.60]  weight in gold even at 20k a month so
[02:01.36]  hire her early don't just wait for this
[02:03.20]  vp of sales
[02:04.48]  same thing with customer success right
[02:06.24]  you heard todd before talk about hunting
[02:08.16]  that first great customer was talking
[02:09.52]  about
[02:10.80]  if you have 10 even if you have 10 big
[02:12.80]  customers 20 30
[02:14.56]  and you hire this vp of customer sets at
[02:16.32]  a million and she grows just a couple of
[02:18.80]  those accounts bigger than you could
[02:20.48]  because you don't have time
[02:21.60]  or some junior person does she can more
[02:24.00]  than pay for herself i over time had
[02:26.08]  accounts that
[02:26.88]  we grew from 20 000 to millions of
[02:29.28]  dollars at adobe sun and echo sign
[02:31.28]  you bring this person in to handle let's
[02:33.28]  say you're doing a million and
[02:34.64]  10 of those customers are half million
[02:36.64]  of your revenue can this person grow
[02:38.40]  that half million to six hundred
[02:39.76]  thousand seven hundred thousand eight
[02:41.28]  hundred thousand
[02:42.32]  if she or he does nothing 50 hours a
[02:44.56]  week
[02:45.52]  but make these customers happy of course
[02:47.12]  she can so don't wait
[02:48.64]  if you find the world's best vp of
[02:50.32]  customer success at a million hire her
[02:51.92]  tomorrow
[02:52.48]  hire the vp of marketing hire the vp of
[02:54.48]  sales and then the last one and i think
[02:56.32]  todd might have touched on this but we
[02:57.60]  don't get it
[02:58.64]  we all wait for the vp of product late
[03:00.80]  why wait what if this vp of product
[03:02.80]  spends 50 hours a week figuring out
[03:04.80]  what's that magic feature that's going
[03:06.64]  to get you that 150k deal that 100k deal
[03:09.36]  and what if each quarter she
[03:10.88]  re-prioritizes your roadmap because
[03:12.48]  you've run out of time
[03:13.76]  so you can make that ge that google that
[03:16.00]  facebook
[03:17.12]  the schneider electric that whatever
[03:18.48]  happy and just once a quarter you close
[03:20.72]  that bigger deal
[03:21.76]  that vp of product is accretive they're
[03:23.68]  beyond free
[03:24.80]  so hopefully i've convinced you at least
[03:26.96]  some of these are true and you're all
[03:28.24]  going to be fixated vp of sales vp sales
[03:30.00]  vp sales vp sales hire her if you can
[03:32.00]  find her at a million but also hire any
[03:34.64]  of the vps if they're graded a million
[03:36.08]  they're all accretive
[03:37.04]  and that that value will just compound
[03:39.20]  over time since this is my perfect order
[03:41.20]  the vp of marketing
[03:42.72]  early because just more leads means more
[03:44.88]  revenue you literally can afford a vp of
[03:46.96]  demand gen at even 20k in mrr
[03:49.36]  because she'll more than pay for herself
[03:50.96]  vp of sales at a million
[03:52.64]  maybe the vp of sales cs after that
[03:54.48]  product at 405 engineering after
[03:56.72]  this is like in a perfect world if you
[03:59.52]  came to traction you met all your great
[04:01.20]  executives here
[04:02.40]  life was perfect you could maybe do this
[04:04.80]  but i would reorient
[04:06.16]  any of these if i found a great one any
[04:08.00]  of them hire them the second you fire
[04:09.68]  higher great when they're all accretive
