Title     : Why UiPath's First Big Exec Hire Was in Marketing:  SaaStr Europa
Video ID  : vPoTq2P3cGY
URL       : https://www.youtube.com/watch?v=vPoTq2P3cGY
Language  : English (auto-generated) (en)
Generated : Yes (auto-generated)
Snippets  : 30
Saved at  : 2026-06-21 00:09:52
------------------------------------------------------------

[00:00.00]  how the hockey stick works is about a
[00:01.65]  year and a half ago when the series they
[00:03.15]  started that's when this the world
[00:05.22]  shifted a bit the technology is
[00:06.63]  perfected a business user could do their
[00:08.67]  own build their own robot and things
[00:10.77]  really took off and so we took the the
[00:13.08]  series a interesting enough the first
[00:15.63]  executive hired by thanks to the cells
[00:18.66]  coaching actually was marketing which I
[00:20.91]  what I was first met Luciana we didn't
[00:24.60]  have executive teams really outside of
[00:26.37]  the founders and you know for her to say
[00:29.37]  how important to marketing you know Big
[00:30.81]  M marketing not little in marketing was
[00:32.49]  meant a whole lot about what we were
[00:34.80]  going to undertake here we had to build
[00:37.35]  the category we had to drive the urgency
[00:40.20]  and then in our company then we had to
[00:42.45]  act for the massive sense of urgency
[00:43.98]  about how fast this market was gonna
[00:45.75]  materialize so growth for us is is about
[00:50.69]  massive scaling and hiring you know we
[00:53.37]  went from two officers probably a year
[00:55.05]  ago and three employees in the US for
[00:57.15]  example to a thousand employees 150 in
[00:59.22]  the u.s. now and sixteen offices
[01:00.96]  worldwide all within eighteen months we
[01:03.60]  raised 180 million and we really haven't
[01:05.70]  touched the cash
